\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000021_V01_east_tfa.dat
 2454039.699538 14.12014 0.01075 
 2454039.705000 14.13194 0.01010 
 2454039.707189 14.12147 0.01027 
 2454039.711809 14.10744 0.01013 
 2454039.716430 14.12869 0.01013 
 2454039.721049 14.11390 0.01030 
 2454039.725669 14.10624 0.01008 
 2454039.730289 14.11833 0.00975 
 2454039.734910 14.13285 0.01005 
 2454039.739530 14.12692 0.00989 
 2454039.744150 14.11395 0.01000 
 2454039.748771 14.11813 0.00986 
 2454039.753393 14.12458 0.00981 
 2454039.758013 14.13183 0.00976 
 2454039.762634 14.09668 0.00979 
 2454039.767256 14.11263 0.00967 
 2454039.771875 14.10940 0.00953 
 2454039.776495 14.11401 0.00944 
 2454039.781115 14.10631 0.01023 
 2454040.685923 14.12131 0.01188 
 2454040.688110 14.09980 0.01196 
 2454040.690298 14.12787 0.01161 
 2454040.692486 14.12467 0.01160 
 2454040.694674 14.12292 0.01153 
 2454040.696862 14.11368 0.01172 
 2454040.699049 14.11721 0.01161 
 2454040.701237 14.13724 0.01145 
 2454040.703425 14.10129 0.01147 
 2454040.708045 14.11441 0.01131 
 2454040.712666 14.11106 0.01112 
 2454040.717287 14.11948 0.01122 
 2454040.721906 14.11007 0.01120 
 2454040.726526 14.11978 0.01147 
 2454040.731146 14.12419 0.01108 
 2454040.735765 14.10782 0.01125 
 2454040.740386 14.12842 0.01128 
 2454040.745006 14.11440 0.01103 
 2454040.749625 14.10830 0.01132 
 2454040.754245 14.11193 0.01098 
 2454040.758865 14.14051 0.01123 
 2454040.763485 14.12624 0.01073 
 2454040.768107 14.10878 0.01098 
 2454040.772728 14.11175 0.01082 
 2454040.777349 14.12122 0.01084 
 2454048.666500 14.10545 0.01074 
 2454048.671019 14.12907 0.01080 
 2454048.675540 14.12136 0.01075 
 2454048.680900 14.12495 0.01059 
 2454048.686262 14.11332 0.01069 
 2454048.691624 14.12358 0.01099 
 2454048.696984 14.13314 0.01084 
 2454048.699084 14.12993 0.01108 
 2454048.703605 14.10955 0.01055 
 2454048.708124 14.11971 0.01106 
 2454048.712704 14.10846 0.01049 
 2454048.717223 14.12220 0.01071 
 2454048.721743 14.12371 0.01073 
 2454048.726267 14.11007 0.01055 
 2454048.730787 14.12209 0.01090 
 2454048.735304 14.11454 0.01055 
 2454048.739824 14.10543 0.01054 
 2454048.744344 14.11700 0.01078 
 2454048.748864 14.11919 0.01088 
 2454048.753384 14.11926 0.01081 
 2454050.661443 14.12476 0.00858 
 2454050.665961 14.10956 0.00876 
 2454050.670486 14.12301 0.00920 
 2454050.675859 14.11419 0.00846 
 2454050.681227 14.12380 0.00872 
 2454050.686590 14.12249 0.00843 
 2454050.691959 14.13162 0.00828 
 2454050.694063 14.12105 0.00824 
 2454050.698585 14.11957 0.00874 
 2454050.703103 14.11697 0.00847 
 2454050.707628 14.13441 0.00816 
 2454050.712143 14.11017 0.00850 
 2454050.721189 14.12296 0.00849 
 2454050.725707 14.11659 0.00862 
 2454050.730228 14.12570 0.00859 
 2454050.734754 14.11526 0.00875 
 2454050.739272 14.11455 0.00896 
 2454050.743796 14.11532 0.00901 
 2454050.748318 14.12057 0.00900 
 2454052.657430 14.11705 0.00950 
 2454052.661956 14.13116 0.00888 
 2454052.666475 14.12024 0.00844 
 2454052.671844 14.10969 0.00803 
 2454052.677207 14.13017 0.00895 
 2454052.682575 14.11930 0.00868 
 2454052.687946 14.12526 0.00847 
 2454052.690052 14.11826 0.00831 
 2454052.694574 14.12288 0.00848 
 2454052.699097 14.12078 0.00892 
 2454052.703616 14.12164 0.00866 
 2454052.708139 14.11340 0.00876 
 2454052.712656 14.12545 0.00866 
 2454052.717178 14.12174 0.00896 
 2454052.721694 14.11649 0.00852 
 2454052.730734 14.12585 0.00898 
 2454052.735259 14.13213 0.00873 
 2454052.739783 14.12006 0.00854 
 2454052.744299 14.12446 0.00927 
 2454053.651245 14.12716 0.00830 
 2454053.655770 14.11169 0.00905 
 2454053.660295 14.13044 0.00822 
 2454053.664818 14.13191 0.00880 
 2454053.670182 14.10330 0.00862 
 2454053.675551 14.11871 0.00822 
 2454053.680921 14.12651 0.00855 
 2454053.686292 14.12559 0.00841 
 2454053.688397 14.11974 0.00852 
 2454053.692922 14.12288 0.00843 
 2454053.697438 14.11447 0.00788 
 2454053.706490 14.12500 0.00781 
 2454053.711014 14.11451 0.00804 
 2454053.715536 14.10402 0.00772 
 2454053.720054 14.12255 0.00765 
 2454053.724578 14.11748 0.00772 
 2454053.729100 14.11960 0.00777 
 2454053.733619 14.12054 0.00787 
 2454053.738144 14.11636 0.00782 
 2454053.742669 14.11522 0.00782 
 2454054.652340 14.12927 0.00817 
 2454054.656858 14.13249 0.00787 
 2454054.661383 14.11892 0.00807 
 2454054.666755 14.11160 0.00787 
 2454054.672125 14.10822 0.00786 
 2454054.677497 14.12105 0.00802 
 2454054.682867 14.11916 0.00801 
 2454054.684971 14.11740 0.00777 
 2454054.689493 14.11967 0.00784 
 2454054.694012 14.11808 0.00780 
 2454054.698536 14.10716 0.00786 
 2454054.703058 14.13319 0.00776 
 2454054.707575 14.12666 0.00775 
 2454054.712099 14.12625 0.00768 
 2454054.716624 14.11479 0.00758 
 2454054.721147 14.12854 0.00766 
 2454054.725665 14.13114 0.00777 
 2454054.730189 14.11968 0.00777 
 2454054.734714 14.11505 0.00762 
 2454054.739238 14.12120 0.00750 
 2454055.646626 14.11341 0.00873 
 2454055.651150 14.10570 0.00856 
 2454055.655676 14.11979 0.00828 
 2454055.661040 14.12810 0.00848 
 2454055.666408 14.12267 0.00844 
 2454055.671778 14.12110 0.00822 
 2454055.677148 14.12501 0.00816 
 2454055.679253 14.12661 0.00804 
 2454055.683777 14.12503 0.00799 
 2454055.688302 14.11895 0.00787 
 2454055.692827 14.11957 0.00769 
 2454055.697343 14.11185 0.00778 
 2454055.701867 14.12418 0.00776 
 2454055.706389 14.12278 0.00785 
 2454055.710907 14.11309 0.00768 
 2454055.715432 14.10857 0.00779 
 2454055.719956 14.11882 0.00784 
 2454055.724473 14.12365 0.00778 
 2454055.728997 14.12169 0.00760 
 2454055.733520 14.12685 0.00752 
 2454056.647318 14.10567 0.00836 
 2454056.651837 14.13589 0.00828 
 2454056.656361 14.12386 0.00800 
 2454056.661723 14.13182 0.00829 
 2454056.667091 14.10691 0.00831 
 2454056.672454 14.10820 0.00815 
 2454056.677821 14.11815 0.00791 
 2454056.679924 14.12584 0.00796 
 2454056.684448 14.12204 0.00801 
 2454056.688972 14.11699 0.00784 
 2454056.693492 14.11943 0.00797 
 2454056.698015 14.13611 0.00781 
 2454056.702537 14.13672 0.00773 
 2454056.707056 14.12321 0.00762 
 2454056.711581 14.12662 0.00784 
 2454056.716105 14.12113 0.00789 
 2454056.720631 14.11875 0.00772 
 2454056.725154 14.12334 0.00776 
 2454056.729671 14.11308 0.00751 
 2454056.734196 14.12186 0.00757 
 2454057.641528 14.12692 0.00898 
 2454057.646052 14.12524 0.00837 
 2454057.650575 14.11664 0.00849 
 2454057.655939 14.11658 0.00836 
 2454057.661302 14.11748 0.00872 
 2454057.666667 14.11433 0.00845 
 2454057.672036 14.11988 0.00825 
 2454057.677400 14.11227 0.00852 
 2454057.679503 14.12025 0.00825 
 2454057.684026 14.11629 0.00812 
 2454057.688542 14.11565 0.00793 
 2454057.693066 14.12796 0.00831 
 2454057.697587 14.11828 0.00808 
 2454057.702107 14.11879 0.00806 
 2454057.706631 14.12008 0.00824 
 2454057.711156 14.12011 0.00821 
 2454057.715681 14.11639 0.00813 
 2454057.720203 14.11392 0.00804 
 2454057.724722 14.12193 0.00789 
 2454057.729246 14.11831 0.00824 
 2454058.641923 14.11951 0.00797 
 2454058.646443 14.11289 0.00787 
 2454058.650963 14.12237 0.00826 
 2454058.656328 14.12558 0.00804 
 2454058.661697 14.12447 0.00802 
 2454058.667066 14.12301 0.00785 
 2454058.672429 14.11350 0.00801 
 2454058.674533 14.11814 0.00796 
 2454058.679057 14.11452 0.00783 
 2454058.683579 14.10629 0.00792 
 2454058.688097 14.12408 0.00768 
 2454058.692621 14.12657 0.00784 
 2454058.697147 14.12547 0.00776 
 2454058.701672 14.12120 0.00775 
 2454058.706194 14.11720 0.00755 
 2454058.710713 14.11785 0.00764 
 2454058.715237 14.11163 0.00769 
 2454058.719762 14.12168 0.00769 
 2454058.724285 14.11504 0.00759 
 2454058.728802 14.11952 0.00757 
 2454059.580521 14.11287 0.00894 
 2454059.585045 14.10724 0.00871 
 2454059.589567 14.10219 0.00885 
 2454059.594085 14.12139 0.00911 
 2454059.598608 14.13321 0.00866 
 2454059.603125 14.11980 0.00876 
 2454059.607649 14.11179 0.00849 
 2454059.612171 14.11507 0.00858 
 2454059.616690 14.12001 0.00874 
 2454059.621213 14.12656 0.00839 
 2454059.625736 14.12715 0.00840 
 2454059.630255 14.11776 0.00851 
 2454059.634780 14.12206 0.00824 
 2454059.639301 14.11725 0.00845 
 2454059.643819 14.12520 0.00815 
 2454059.648340 14.10734 0.00840 
 2454059.653704 14.12438 0.00793 
 2454059.659067 14.12273 0.00821 
 2454059.664434 14.11115 0.00801 
 2454059.666537 14.11608 0.00794 
 2454059.671060 14.11020 0.00796 
 2454059.675579 14.11559 0.00802 
 2454059.680103 14.11767 0.00819 
 2454059.684625 14.11522 0.00790 
 2454059.689144 14.13860 0.00762 
 2454059.693667 14.12496 0.00784 
 2454059.698190 14.10171 0.00773 
 2454059.702708 14.10896 0.00779 
 2454059.707232 14.13316 0.00775 
 2454059.711754 14.12632 0.00757 
 2454059.716273 14.11364 0.00776 
 2454059.720797 14.11070 0.00757 
 2454059.725318 14.11981 0.00769 
 2454060.580529 14.11291 0.01028 
 2454060.585051 14.12060 0.00980 
 2454060.589569 14.11578 0.00995 
 2454060.594094 14.10752 0.00982 
 2454060.598617 14.09967 0.00972 
 2454060.603135 14.11378 0.00966 
 2454060.607659 14.12373 0.00931 
 2454060.612185 14.13682 0.00928 
 2454060.616710 14.10648 0.00931 
 2454060.621233 14.12270 0.00903 
 2454060.625750 14.12097 0.00876 
 2454060.630275 14.12582 0.00890 
 2454060.634796 14.11970 0.00857 
 2454060.639314 14.12102 0.00857 
 2454060.643840 14.12625 0.00841 
 2454060.649210 14.12557 0.00839 
 2454060.654581 14.13651 0.00858 
 2454060.659952 14.11923 0.00840 
 2454060.665322 14.10014 0.00819 
 2454060.667427 14.11628 0.00808 
 2454060.671947 14.12439 0.00813 
 2454060.676475 14.11231 0.00789 
 2454060.680994 14.11625 0.00780 
 2454060.685518 14.12721 0.00784 
 2454060.690040 14.10945 0.00783 
 2454060.694558 14.12753 0.00778 
 2454060.699081 14.12021 0.00775 
 2454060.705749 14.12858 0.00787 
 2454060.710272 14.12027 0.00758 
 2454060.714790 14.12302 0.00756 
 2454060.719313 14.12979 0.00758 
 2454060.723837 14.11608 0.00757 
 2454061.580528 14.11986 0.00938 
 2454061.585051 14.12871 0.00962 
 2454061.589570 14.12222 0.00912 
 2454061.594095 14.10926 0.00917 
 2454061.598620 14.12676 0.00883 
 2454061.603145 14.12026 0.00902 
 2454061.607668 14.13716 0.00906 
 2454061.612184 14.11709 0.00852 
 2454061.616709 14.10868 0.00851 
 2454061.621231 14.12841 0.00883 
 2454061.625749 14.12501 0.00875 
 2454061.630274 14.10879 0.00844 
 2454061.634800 14.11370 0.00838 
 2454061.639326 14.11565 0.00857 
 2454061.644689 14.11139 0.00853 
 2454061.650057 14.11191 0.00806 
 2454061.655425 14.12199 0.00826 
 2454061.660795 14.12040 0.00790 
 2454061.662893 14.11354 0.00777 
 2454061.667415 14.12625 0.00816 
 2454061.671937 14.11688 0.00807 
 2454061.676463 14.12047 0.00781 
 2454061.680989 14.12222 0.00777 
 2454061.685514 14.13341 0.00789 
 2454061.690033 14.11463 0.00803 
 2454061.694557 14.11740 0.00766 
 2454061.699080 14.11307 0.00762 
 2454061.703604 14.11154 0.00757 
 2454061.708131 14.11239 0.00756 
 2454061.712655 14.12477 0.00749 
 2454061.717174 14.12052 0.00742 
 2454066.579809 14.11336 0.00774 
 2454066.584334 14.12788 0.00941 
 2454066.588851 14.11815 0.01142 
 2454066.593373 14.11502 0.00987 
 2454066.597899 14.11454 0.00938 
 2454066.602417 14.11293 0.00941 
 2454066.606942 14.12575 0.00939 
 2454066.611464 14.13247 0.00919 
 2454066.615989 14.11240 0.00911 
 2454066.620509 14.12243 0.00904 
 2454066.625032 14.11071 0.00894 
 2454066.629556 14.11825 0.00873 
 2454066.634920 14.12301 0.00924 
 2454066.640289 14.11048 0.00884 
 2454066.645658 14.12487 0.00824 
 2454066.647762 14.11330 0.00826 
 2454066.652278 14.11761 0.00821 
 2454066.656802 14.12873 0.00949 
 2454066.661325 14.12037 0.00818 
 2454066.665849 14.12351 0.01162 
 2454066.670365 14.12424 0.00884 
 2454066.679406 14.12638 0.00991 
 2454066.683931 14.11942 0.00975 
 2454066.688452 14.12830 0.01054 
 2454066.692972 14.11638 0.00857 
 2454066.697497 14.11539 0.00772 
 2454066.702021 14.12496 0.00887 
 2454066.706547 14.12583 0.01769 
 2454077.579764 14.12720 0.00892 
 2454077.584281 14.13210 0.00864 
 2454077.588794 14.11816 0.00846 
 2454077.593309 14.11988 0.00855 
 2454077.597830 14.12920 0.00848 
 2454077.603194 14.11116 0.00930 
 2454077.613925 14.13027 0.00912 
 2454077.619287 14.11619 0.00871 
 2454077.621395 14.11865 0.00917 
 2454077.625912 14.12785 0.00891 
 2454077.630425 14.11197 0.00933 
 2454077.634939 14.11562 0.00982 
 2454077.639453 14.10700 0.00977 
 2454077.643967 14.11624 0.01002 
 2454077.648480 14.12943 0.01045 
 2454077.653002 14.12448 0.01069 
 2454077.657522 14.12247 0.01087 
 2454077.662044 14.10707 0.01057 
 2454077.666559 14.12066 0.01073 
 2454077.671072 14.13732 0.01090 
 2454077.675584 14.10525 0.01102 
 2454078.579757 14.11821 0.00876 
 2454078.584280 14.11946 0.00847 
 2454078.588798 14.12233 0.00862 
 2454078.593311 14.13114 0.00842 
 2454078.604034 14.10879 0.00859 
 2454078.609394 14.12920 0.00847 
 2454078.614762 14.12654 0.00818 
 2454078.616870 14.12238 0.00822 
 2454078.621392 14.12362 0.00838 
 2454078.625905 14.11536 0.00834 
 2454078.630419 14.13239 0.00797 
 2454078.634933 14.12128 0.00808 
 2454078.639446 14.13360 0.00842 
 2454078.643962 14.11746 0.00814 
 2454078.648475 14.12578 0.00798 
 2454078.652989 14.12322 0.00811 
 2454078.657502 14.11843 0.00815 
 2454078.662016 14.12207 0.00801 
 2454078.666530 14.10715 0.00820 
 2454078.671044 14.11817 0.00821 
 2454079.667575 14.12176 0.00743 
 2454080.579729 14.12743 0.00851 
 2454080.584243 14.12723 0.00829 
 2454080.588759 14.11350 0.00830 
 2454080.599487 14.12160 0.00810 
 2454080.604850 14.12861 0.00800 
 2454080.610210 14.13272 0.00787 
 2454080.612318 14.11850 0.00788 
 2454080.616835 14.12168 0.00804 
 2454080.621349 14.12871 0.00784 
 2454080.625864 14.11911 0.00797 
 2454080.630378 14.11654 0.00819 
 2454080.634893 14.12335 0.00758 
 2454080.639418 14.11732 0.00754 
 2454080.643933 14.11051 0.00789 
 2454080.648455 14.12226 0.00815 
 2454080.652970 14.11912 0.00785 
 2454080.657483 14.11173 0.00783 
 2454080.662000 14.11544 0.00767 
 2454080.666523 14.12313 0.00747 
 2454081.580718 14.12318 0.00800 
 2454081.585239 14.12407 0.00811 
 2454081.590603 14.12445 0.00831 
 2454081.595973 14.13179 0.00800 
 2454081.601342 14.10546 0.00812 
 2454081.606711 14.11846 0.00815 
 2454081.608820 14.12740 0.00808 
 2454081.613340 14.11421 0.00809 
 2454081.617854 14.12819 0.00776 
 2454081.622368 14.12572 0.00791 
 2454081.626882 14.11534 0.00796 
 2454081.631397 14.11137 0.00798 
 2454081.635918 14.12235 0.00776 
 2454081.640443 14.11744 0.00800 
 2454081.644959 14.11206 0.00795 
 2454081.649483 14.12378 0.00787 
 2454081.653999 14.12515 0.00793 
 2454081.658514 14.12450 0.00761 
 2454081.663037 14.12967 0.00794 
 2454082.580708 14.12055 0.00894 
 2454082.595951 14.10777 0.01179 
 2454082.601323 14.13071 0.00856 
 2454082.603432 14.13308 0.00853 
 2454082.607947 14.12222 0.00896 
 2454082.616975 14.12676 0.00963 
 2454082.630517 14.13259 0.01404 
 2454082.639545 14.11609 0.01040 
 2454082.644059 14.12622 0.00856 
 2454082.653086 14.12301 0.00858 
 2454082.657601 14.13509 0.00790 
 2454082.662115 14.12757 0.00863 
 2454083.580709 14.11455 0.00935 
 2454083.586072 14.10768 0.00858 
 2454083.591437 14.11695 0.00947 
 2454083.596800 14.11481 0.00874 
 2454083.602167 14.12005 0.00857 
 2454083.604270 14.11441 0.00833 
 2454083.613299 14.12013 0.00834 
 2454083.617814 14.11568 0.00879 
 2454083.626842 14.10530 0.00871 
 2454083.635870 14.12431 0.01235 
 2454083.640384 14.12948 0.00867 
 2454083.644898 14.12101 0.00825 
 2454083.649412 14.11903 0.00837 
 2454083.653926 14.12663 0.00898 
 2454093.581229 14.12655 0.00869 
 2454093.585959 14.11159 0.00874 
 2454093.590688 14.11201 0.00873 
 2454093.595418 14.10294 0.00850 
 2454093.600146 14.11101 0.00841 
 2454093.604873 14.11938 0.00846 
 2454093.609602 14.12031 0.00828 
 2454093.614332 14.11507 0.00843 
 2454093.619059 14.11867 0.00807 
 2454093.623785 14.11320 0.00863 
 2454093.628516 14.10812 0.00845 
 2454093.633243 14.12220 0.00837 
 2454107.587528 14.12911 0.00749 
 2454107.592258 14.11098 0.00746 
 2454108.588224 14.12007 0.00753 
 2454362.811812 14.11359 0.00836 
 2454362.822059 14.12067 0.00828 
 2454362.827601 14.11713 0.00817 
 2454362.833143 14.12166 0.00794 
 2454362.835339 14.11350 0.00811 
 2454362.840036 14.11894 0.00785 
 2454362.844725 14.11778 0.00796 
 2454362.849430 14.11221 0.00782 
 2454362.854127 14.10626 0.00801 
 2454362.858823 14.11578 0.00787 
 2454362.863510 14.12640 0.00777 
 2454362.868216 14.11183 0.00765 
 2454362.872913 14.11016 0.00750 
 2454362.877610 14.11561 0.00745 
 2454362.882298 14.11749 0.00734 
 2454362.887004 14.12906 0.00766 
 2454362.891700 14.11878 0.00748 
 2454362.896397 14.12551 0.00746 
 2454363.802049 14.12996 0.00791 
 2454363.806757 14.11900 0.00789 
 2454363.811465 14.12107 0.00784 
 2454363.817020 14.11466 0.00776 
 2454363.822575 14.13178 0.00752 
 2454363.828129 14.11830 0.00750 
 2454363.833682 14.12415 0.00738 
 2454363.835883 14.11012 0.00727 
 2454363.840589 14.11975 0.00746 
 2454363.845296 14.12168 0.00746 
 2454363.850002 14.12301 0.00773 
 2454363.854707 14.11277 0.00766 
 2454363.859413 14.11828 0.00756 
 2454363.864119 14.11965 0.00764 
 2454363.868825 14.11952 0.00729 
 2454363.873532 14.12410 0.00745 
 2454363.878238 14.13642 0.00698 
 2454363.882944 14.11001 0.00778 
 2454363.887652 14.12563 0.00706 
 2454363.892358 14.11640 0.00711 
 2454378.760995 14.13608 0.01037 
 2454378.765697 14.12158 0.01029 
 2454378.770400 14.12113 0.00480 
 2454378.775947 14.12090 0.02271 
 2454378.804192 14.12236 0.01034 
 2454378.818299 14.12104 0.00815 
 2454378.823001 14.11938 0.01050 
 2454378.827703 14.11388 0.00707 
 2454379.801083 14.11810 0.00678 
 2454380.761807 14.12254 0.01000 
 2454380.766514 14.11821 0.00991 
 2454380.772070 14.12058 0.00947 
 2454381.774033 14.11919 0.00845 
 2454381.779582 14.12303 0.00808 
 2454381.781780 14.12315 0.00809 
 2454381.786482 14.12117 0.00796 
 2454381.791186 14.12101 0.00794 
 2454381.795882 14.13215 0.00798 
 2454381.800593 14.11353 0.00793 
 2454381.809999 14.12484 0.00764 
 2454381.814698 14.11110 0.00729 
 2454381.819406 14.10653 0.00743 
 2454381.824111 14.11864 0.00705 
 2454381.828812 14.11706 0.00727 
 2454381.833516 14.11766 0.00732 
 2454381.838216 14.11828 0.00702 
 2454381.842917 14.11669 0.00718 
 2454382.746250 14.12505 0.00808 
 2454382.750956 14.11221 0.00815 
 2454382.755662 14.12740 0.00816 
 2454382.760369 14.12902 0.00800 
 2454382.765923 14.11860 0.00804 
 2454382.771476 14.11583 0.00787 
 2454382.777030 14.11803 0.00769 
 2454382.779231 14.11993 0.00793 
 2454382.783922 14.11613 0.00776 
 2454382.788644 14.11129 0.00788 
 2454382.793352 14.12280 0.00787 
 2454382.798060 14.11920 0.00744 
 2454382.802760 14.13151 0.00780 
 2454382.807473 14.11284 0.00744 
 2454382.812182 14.11952 0.00770 
 2454382.816886 14.12055 0.00781 
 2454382.821589 14.11454 0.00738 
 2454382.826288 14.11879 0.00760 
 2454382.831003 14.11681 0.00736 
 2454382.835710 14.10827 0.00783 
 2454382.840417 14.11494 0.00730 
 2454384.745157 14.12634 0.00808 
 2454384.749865 14.12430 0.00803 
 2454384.754571 14.12876 0.00804 
 2454384.760120 14.12204 0.00789 
 2454384.765672 14.12058 0.00798 
 2454384.771224 14.11904 0.00766 
 2454384.773426 14.12035 0.00783 
 2454384.778130 14.12033 0.00751 
 2454384.782826 14.10967 0.00805 
 2454384.787542 14.11791 0.00772 
 2454384.792246 14.12910 0.00744 
 2454384.796954 14.11626 0.00758 
 2454384.801654 14.11466 0.00742 
 2454384.806372 14.12832 0.00747 
 2454384.811079 14.11707 0.00735 
 2454384.815787 14.11713 0.00720 
 2454384.820485 14.11639 0.00721 
 2454384.825198 14.10541 0.00715 
 2454384.829905 14.12577 0.00748 
 2454384.834609 14.12451 0.00709 
 2454385.738727 14.11867 0.00749 
 2454385.743430 14.12804 0.00735 
 2454385.748133 14.11038 0.00733 
 2454385.752836 14.12239 0.00712 
 2454385.758385 14.12025 0.00744 
 2454385.763935 14.13299 0.00741 
 2454385.769482 14.11377 0.00683 
 2454385.771679 14.12433 0.00731 
 2454385.776383 14.10606 0.00703 
 2454385.781089 14.11132 0.00718 
 2454385.785792 14.10236 0.00724 
 2454385.790495 14.12409 0.00710 
 2454385.795199 14.12158 0.00736 
 2454385.799903 14.12413 0.00701 
 2454385.804606 14.11665 0.00718 
 2454385.809308 14.11984 0.00717 
 2454385.814010 14.10863 0.00720 
 2454385.818714 14.12370 0.00686 
 2454385.823417 14.10946 0.00714 
 2454385.828119 14.12820 0.00712 
 2454385.832820 14.11532 0.00700 
 2454386.739956 14.13352 0.00747 
 2454386.744658 14.11407 0.00744 
 2454386.749361 14.12047 0.00752 
 2454386.754911 14.11745 0.00756 
 2454386.760459 14.12190 0.00744 
 2454386.766009 14.12448 0.00733 
 2454386.768209 14.11422 0.00740 
 2454386.772913 14.12351 0.00734 
 2454386.777616 14.11076 0.00781 
 2454386.782319 14.12227 0.00756 
 2454386.787024 14.11123 0.00749 
 2454386.791727 14.11697 0.00753 
 2454386.796430 14.12152 0.00745 
 2454386.801133 14.11614 0.00734 
 2454386.805838 14.12188 0.00750 
 2454386.810541 14.12497 0.00704 
 2454386.815243 14.11821 0.00743 
 2454386.819950 14.11676 0.00780 
 2454386.824654 14.11949 0.00738 
 2454386.829357 14.11360 0.00732 
 2454387.727807 14.11515 0.00798 
 2454387.732509 14.11949 0.00805 
 2454387.737210 14.12711 0.00796 
