\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000017_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:38 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454059.666537 13.41884 0.00473 
 2454059.671060 13.42511 0.00474 
 2454059.675579 13.42539 0.00478 
 2454059.680103 13.42884 0.00488 
 2454059.684625 13.42623 0.00472 
 2454059.689144 13.42688 0.00458 
 2454059.693667 13.41427 0.00472 
 2454059.698190 13.42668 0.00463 
 2454059.702708 13.43268 0.00466 
 2454059.707232 13.42400 0.00467 
 2454059.711754 13.41804 0.00456 
 2454059.716273 13.41508 0.00466 
 2454059.720797 13.42474 0.00454 
 2454059.725318 13.42809 0.00462 
 2454060.580529 13.41886 0.00589 
 2454060.585051 13.42718 0.00563 
 2454060.589569 13.42677 0.00573 
 2454060.594094 13.43272 0.00564 
 2454060.598617 13.42857 0.00558 
 2454060.603135 13.42084 0.00558 
 2454060.607659 13.42864 0.00539 
 2454060.612185 13.41687 0.00540 
 2454060.616710 13.42326 0.00542 
 2454060.621233 13.41849 0.00527 
 2454060.625750 13.42606 0.00512 
 2454060.630275 13.43082 0.00521 
 2454060.634796 13.42900 0.00502 
 2454060.639314 13.43061 0.00506 
 2454060.643840 13.41255 0.00497 
 2454060.649210 13.42770 0.00495 
 2454060.654581 13.41841 0.00510 
 2454060.659952 13.44298 0.00495 
 2454060.665322 13.42739 0.00485 
 2454060.667427 13.43010 0.00480 
 2454060.671947 13.42153 0.00485 
 2454060.676475 13.42179 0.00472 
 2454060.680994 13.43288 0.00466 
 2454060.685518 13.42828 0.00471 
 2454060.690040 13.42604 0.00469 
 2454060.694558 13.42592 0.00466 
 2454060.699081 13.42761 0.00466 
 2454060.705749 13.42387 0.00474 
 2454060.710272 13.42509 0.00455 
 2454060.714790 13.42670 0.00456 
 2454060.719313 13.43068 0.00456 
 2454060.723837 13.41759 0.00457 
 2454061.580528 13.41837 0.00541 
 2454061.585051 13.42883 0.00553 
 2454061.589570 13.42254 0.00527 
 2454061.594095 13.42448 0.00528 
 2454061.598620 13.40801 0.00513 
 2454061.603145 13.41483 0.00525 
 2454061.607668 13.41288 0.00527 
 2454061.612184 13.41054 0.00497 
 2454061.616709 13.41317 0.00496 
 2454061.621231 13.42555 0.00515 
 2454061.625749 13.42009 0.00513 
 2454061.630274 13.42354 0.00494 
 2454061.634800 13.41477 0.00494 
 2454061.639326 13.42061 0.00504 
 2454061.644689 13.43851 0.00500 
 2454061.650057 13.42487 0.00477 
 2454061.655425 13.42366 0.00490 
 2454061.660795 13.43147 0.00469 
 2454061.662893 13.42661 0.00461 
 2454061.667415 13.41974 0.00486 
 2454061.671937 13.41682 0.00481 
 2454061.676463 13.42810 0.00466 
 2454061.680989 13.42840 0.00464 
 2454061.685514 13.41364 0.00475 
 2454061.690033 13.42751 0.00480 
 2454061.694557 13.41930 0.00460 
 2454061.699080 13.42794 0.00457 
 2454061.703604 13.42622 0.00454 
 2454061.708131 13.42691 0.00455 
 2454061.712655 13.42710 0.00452 
 2454061.717174 13.41989 0.00449 
 2454066.579809 13.38790 0.00447 
 2454066.584334 13.41894 0.00544 
 2454066.588851 13.41560 0.00659 
 2454066.593373 13.41639 0.00572 
 2454066.597899 13.41596 0.00545 
 2454066.602417 13.42064 0.00546 
 2454066.606942 13.41977 0.00547 
 2454066.611464 13.42534 0.00537 
 2454066.615989 13.43198 0.00530 
 2454066.620509 13.40607 0.00531 
 2454066.625032 13.42074 0.00523 
 2454066.629556 13.42555 0.00512 
 2454066.634920 13.42028 0.00543 
 2454066.640289 13.41568 0.00521 
