\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_005688_V01_west_raw.dat
 2454059.751725 14.03965 0.00843 
 2454060.728783 14.05044 0.00862 
 2454060.739524 14.05968 0.00792 
 2454060.744893 14.06524 0.00782 
 2454060.750255 14.07178 0.00756 
 2454061.722118 14.04997 0.00845 
 2454061.727488 14.05619 0.00788 
 2454061.732857 14.06316 0.00792 
 2454061.738226 14.06658 0.00772 
 2454061.743597 14.07506 0.00732 
 2454066.711492 14.07494 0.00955 
 2454077.691249 14.07127 0.01089 
 2454077.696620 14.02529 0.01112 
 2454077.701990 14.07843 0.01058 
 2454079.672519 14.06253 0.00759 
 2454079.677036 14.07174 0.00748 
 2454079.681552 14.06211 0.00759 
 2454079.686077 14.04504 0.00757 
 2454079.690600 14.05504 0.00765 
 2454079.695114 14.05174 0.00763 
 2454079.702584 14.05255 0.00790 
 2454079.707953 14.06456 0.00796 
 2454079.713321 14.09084 0.00742 
 2454079.718682 14.04518 0.00814 
 2454079.724050 14.07587 0.00828 
 2454079.759937 14.07957 0.00734 
 2454079.768968 14.08468 0.01729 
 2454080.671458 14.06071 0.00870 
 2454080.682195 14.05204 0.00769 
 2454080.687562 14.05978 0.00791 
 2454080.692929 14.05634 0.00794 
 2454081.673345 14.05756 0.00779 
 2454081.678713 14.06000 0.00830 
 2454081.684082 14.06043 0.00803 
 2454081.689451 14.07055 0.00763 
 2454083.674103 14.03876 0.01004 
 2454083.679473 14.06379 0.00830 
 2454083.684834 14.03384 0.00894 
 2454093.643970 14.06503 0.00819 
 2454093.649544 14.09347 0.00744 
 2454093.655121 14.05626 0.00803 
 2454094.651041 14.06592 0.00832 
 2454107.602977 14.06729 0.00762 
 2454107.608549 14.05954 0.00772 
 2454107.614119 14.07220 0.00742 
 2454108.598930 14.06107 0.00785 
 2454108.604493 14.05760 0.00773 
 2454108.610056 14.08896 0.00722 
 2454362.907062 14.04931 0.00779 
 2454362.912605 14.05274 0.00779 
 2454363.903042 14.06328 0.00730 
 2454363.908597 14.04029 0.00781 
 2454378.861883 14.05250 0.00695 
 2454381.853588 14.07672 0.00764 
 2454381.859134 14.06254 0.00776 
 2454382.851098 14.05832 0.00790 
 2454384.845291 14.07277 0.00783 
 2454384.850843 14.05154 0.00794 
 2454385.843495 14.06653 0.00740 
 2454386.840028 14.06147 0.00780 
 2454386.845578 14.07116 0.00772 
 2454388.832463 14.07100 0.00759 
 2454389.829958 14.07356 0.00800 
 2454391.825905 14.06767 0.00793 
 2454392.820761 14.06324 0.00776 
 2454393.819097 14.05574 0.00751 
 2454395.810092 14.06532 0.01053 
 2454395.815647 14.04866 0.00979 
 2454404.790024 14.05547 0.00909 
 2454405.785689 14.05185 0.00795 
 2454405.791241 14.06942 0.01080 
 2454407.783322 14.06239 0.00784 
 2454408.779689 14.07738 0.00785 
 2454408.785242 14.03896 0.00811 
 2454409.778091 14.06784 0.00779 
 2454412.768413 14.04204 0.00789 
 2454412.773964 14.04623 0.00768 
 2454413.766817 14.05254 0.00766 
 2454414.764021 14.07173 0.00794 
 2454414.769574 14.04914 0.00950 
 2454416.757388 14.07218 0.00707 
 2454416.762754 14.07007 0.00699 
 2454416.768115 14.04409 0.00748 
 2454437.700178 14.03592 0.00744 
 2454438.697134 14.06744 0.00794 
 2454439.693856 14.05902 0.00755 
 2454439.699267 14.06172 0.00744 
 2454447.672188 14.07400 0.00761 
 2454447.677597 14.04147 0.00755 
 2454448.666253 14.05546 0.00755 
 2454448.671703 14.08562 0.00783 
 2454448.677119 14.04185 0.00760 
 2454449.666915 14.05202 0.00752 
 2454450.664386 14.05969 0.00764 
 2454460.634944 14.04424 0.01021 
 2454460.640304 14.07352 0.01025 
 2454461.630294 14.05991 0.00795 
 2454461.635650 14.06570 0.00814 
 2454461.641009 14.06821 0.00813 
 2454462.631829 14.06739 0.00782 
 2454462.637189 14.05159 0.00790 
 2454463.627305 14.06120 0.00749 
 2454463.632664 14.07920 0.00738 
 2454464.622717 14.06507 0.00771 
 2454464.628076 14.06000 0.00785 
 2454464.633437 14.06147 0.00755 
 2454465.623549 14.07815 0.00763 
 2454465.628908 14.07674 0.00764 
 2454731.906846 14.05592 0.00884 
 2454731.913903 14.06536 0.00849 
 2454731.920953 14.04968 0.00769 
 2454731.928018 14.06148 0.00768 
 2454731.935075 14.05668 0.00833 
 2454731.942128 14.04682 0.00856 
 2454731.949184 14.04721 0.00836 
 2454731.956232 14.05738 0.00853 
 2454731.960957 14.04879 0.00891 
 2454731.965660 14.04250 0.00911 
 2454731.970378 14.03490 0.00928 
 2454731.991444 14.06430 0.00850 
 2454731.993643 14.07197 0.00873 
 2454731.995831 14.04953 0.00872 
 2454731.998037 14.04192 0.00831 
 2454732.000225 14.03581 0.00854 
 2454732.002434 14.04026 0.00891 
 2454732.004629 14.04277 0.00891 
 2454732.006828 14.04185 0.00937 
 2454732.009028 14.06025 0.01022 
 2454732.011219 14.06682 0.01144 
 2454732.013426 14.07361 0.01343 
 2454732.911568 14.05387 0.00775 
 2454732.918624 14.07766 0.00711 
 2454732.925683 14.07334 0.00737 
 2454732.932736 14.06031 0.00789 
 2454732.939785 14.04489 0.00799 
 2454732.946843 14.05424 0.00771 
 2454732.953893 14.05334 0.00798 
 2454732.958605 14.03435 0.00821 
 2454732.963321 14.05186 0.00848 
 2454732.968038 14.04537 0.00847 
 2454732.989102 14.06998 0.00778 
 2454732.991292 14.05833 0.00772 
 2454732.993501 14.05903 0.00775 
 2454732.995701 14.05331 0.00803 
 2454732.997901 14.04428 0.00812 
 2454733.000096 14.03876 0.00821 
 2454733.002288 14.05684 0.00803 
 2454733.004495 14.05174 0.00820 
 2454733.006681 14.06082 0.00858 
 2454733.008892 14.07084 0.00928 
 2454733.011090 14.06510 0.01030 
 2454733.013279 14.05466 0.01208 
 2454733.901125 14.06104 0.00725 
 2454733.911292 14.04599 0.00768 
 2454733.921461 14.05373 0.00727 
 2454733.975612 14.06352 0.00705 
 2454733.987543 14.06075 0.00697 
 2454733.992276 14.06265 0.00759 
 2454733.997003 14.06180 0.00757 
 2454734.001726 14.05485 0.00761 
 2454734.006453 14.04565 0.00828 
 2454734.011183 14.02895 0.00992 
 2454734.905837 14.06302 0.00749 
 2454734.918267 14.07540 0.00781 
 2454734.930691 14.07143 0.00780 
 2454734.943120 14.05472 0.00790 
 2454734.960785 14.06128 0.00740 
 2454734.976174 14.08193 0.00709 
 2454735.007888 14.05433 0.00890 
 2454737.895504 14.06909 0.00732 
 2454737.907936 14.06851 0.00713 
 2454737.920366 14.04994 0.00746 
 2454737.932813 14.06400 0.00718 
 2454737.945293 14.07162 0.00712 
 2454737.975308 14.06742 0.00707 
 2454737.985491 14.05038 0.00761 
 2454737.995667 14.04660 0.00738 
 2454738.005848 14.06757 0.00739 
 2454738.016019 14.06302 0.01348 
 2454738.895219 14.07207 0.00707 
 2454738.907643 14.06732 0.00686 
 2454738.920061 14.06897 0.00733 
 2454738.932473 14.07071 0.00695 
 2454738.972448 14.06961 0.00639 
 2454738.982609 14.06169 0.00718 
 2454738.992772 14.05987 0.00676 
 2454739.002951 14.05338 0.00700 
 2454739.015405 14.04538 0.01169 
 2454739.891311 14.06181 0.00726 
 2454739.903730 14.07564 0.00696 
 2454739.916144 14.05866 0.00617 
 2454739.928556 14.07225 0.00719 
 2454739.941012 14.06317 0.00708 
 2454739.991322 14.07858 0.00679 
 2454740.001486 14.05990 0.00667 
 2454741.887485 14.05274 0.00773 
 2454741.899906 14.07246 0.00755 
 2454741.912318 14.07054 0.00771 
 2454741.924734 14.06853 0.00794 
 2454741.934719 14.04816 0.00768 
 2454741.964697 14.06602 0.00751 
 2454741.974875 14.05964 0.00801 
 2454741.985039 14.05677 0.00725 
 2454741.995205 14.06351 0.00678 
 2454742.007665 14.06629 0.00749 
 2454742.897478 14.05283 0.00736 
 2454742.909906 14.06455 0.00716 
 2454742.922331 14.05431 0.00662 
 2454742.972515 14.05556 0.00736 
 2454742.982695 14.06615 0.00682 
 2454742.992869 14.05477 0.00672 
 2454743.005360 14.05933 0.00679 
 2454743.015363 14.05699 0.00909 
 2454743.880195 14.06803 0.00931 
 2454743.892611 14.06168 0.00739 
 2454743.905025 14.06264 0.00640 
 2454743.929876 14.05731 0.00756 
 2454743.980153 14.05950 0.00776 
 2454743.990306 14.04247 0.00755 
 2454744.002750 14.07869 0.00658 
 2454744.012736 14.07080 0.00763 
 2454745.873877 14.05765 0.00695 
 2454745.886296 14.07197 0.00680 
 2454745.898707 14.04857 0.00744 
 2454745.911117 14.06193 0.00752 
 2454745.923577 14.06992 0.00722 
 2454745.973874 14.07322 0.00820 
 2454745.984047 14.06491 0.00814 
 2454745.996517 14.05381 0.00801 
 2454746.006531 14.06346 0.00737 
 2454746.016512 14.05853 0.01041 
 2454746.873787 14.05877 0.00798 
 2454746.886196 14.06679 0.00753 
 2454746.898609 14.05459 0.00751 
 2454746.911015 14.05836 0.00788 
 2454746.961114 14.05965 0.00810 
 2454746.971263 14.06206 0.00792 
 2454746.981423 14.05736 0.00886 
 2454746.993882 14.04490 0.00854 
 2454747.003869 14.05721 0.00791 
 2454747.013857 14.06671 0.00920 
 2454747.870728 14.05202 0.00787 
 2454747.883144 14.07844 0.00754 
 2454747.895556 14.05303 0.00795 
 2454747.907964 14.06356 0.00755 
 2454747.917946 14.07581 0.00762 
 2454747.968236 14.07593 0.00770 
 2454747.978394 14.07148 0.00829 
 2454747.990849 14.04678 0.00855 
 2454748.000857 14.05034 0.00832 
 2454748.010841 14.06034 0.00880 
 2454748.868068 14.04988 0.00705 
 2454748.880441 14.06433 0.00711 
 2454748.892818 14.07072 0.00761 
 2454748.905191 14.04814 0.00755 
 2454748.915150 14.05466 0.00762 
 2454748.935061 14.06729 0.00808 
 2454748.965290 14.07475 0.00745 
 2454748.975422 14.05245 0.00790 
 2454748.987838 14.06785 0.00788 
 2454748.997800 14.05364 0.00776 
 2454749.007759 14.06311 0.00734 
 2454749.017711 14.06411 0.00976 
 2454749.865403 14.04997 0.00822 
 2454749.877826 14.07754 0.00746 
 2454749.890245 14.04760 0.00810 
 2454749.902658 14.07640 0.00739 
 2454749.942627 14.05842 0.00787 
 2454749.952799 14.07062 0.00779 
 2454749.962973 14.06817 0.00733 
 2454749.973141 14.06141 0.00796 
 2454749.985609 14.05604 0.00789 
 2454749.995604 14.08585 0.01139 
 2454750.005593 14.02513 0.01533 
 2454750.015579 14.06348 0.00897 
 2454758.836382 14.06432 0.01172 
 2454758.843551 14.05625 0.01142 
 2454758.850719 14.06016 0.01054 
 2454758.857884 14.05358 0.01119 
 2454758.865044 14.06708 0.01127 
 2454758.872204 14.05119 0.01125 
 2454758.879351 14.03782 0.01163 
 2454758.886418 14.04014 0.01136 
 2454758.891146 14.03991 0.01120 
 2454758.900600 14.06625 0.01107 
 2454758.921705 14.07199 0.00916 
 2454758.923912 14.05433 0.00954 
 2454758.926115 14.06641 0.01024 
 2454758.928322 14.07396 0.01067 
 2454758.930522 14.05853 0.01109 
 2454758.932724 14.08110 0.01128 
 2454758.934932 14.06112 0.01130 
 2454758.937137 14.06740 0.01109 
 2454758.939342 14.07443 0.01075 
 2454758.941543 14.06407 0.01063 
 2454758.943748 14.08118 0.01035 
 2454758.945947 14.08163 0.01022 
 2454758.948150 14.06037 0.01007 
 2454758.950352 14.06480 0.00978 
 2454758.952555 14.07323 0.00942 
 2454758.954760 14.05968 0.00974 
 2454758.959855 14.07260 0.01124 
 2454759.832185 14.06994 0.00973 
 2454759.839255 14.04814 0.00809 
 2454759.846312 14.06369 0.00791 
 2454759.853369 14.06779 0.00884 
 2454759.860426 14.06956 0.00923 
 2454759.867484 14.06038 0.00904 
 2454759.874542 14.06103 0.00870 
 2454759.881601 14.05448 0.00834 
 2454759.886312 14.05349 0.00876 
 2454759.891041 14.05850 0.00846 
 2454759.916829 14.07181 0.00932 
 2454759.919023 14.07523 0.00945 
 2454759.921230 14.06874 0.00942 
 2454759.923419 14.06993 0.00941 
 2454759.925629 14.06852 0.00930 
 2454759.927830 14.07514 0.00908 
 2454759.930021 14.06811 0.00893 
 2454759.932232 14.06115 0.00914 
 2454759.934423 14.05481 0.00964 
 2454759.936633 14.07225 0.00952 
 2454759.938835 14.06608 0.00943 
 2454759.941028 14.07339 0.00943 
 2454759.943238 14.06598 0.00969 
 2454759.945426 14.07609 0.00972 
 2454759.947637 14.08563 0.00977 
 2454759.949841 14.06639 0.01010 
 2454759.952034 14.07533 0.01001 
 2454759.954240 14.07226 0.00984 
 2454759.956432 14.06549 0.00961 
 2454759.958643 14.08834 0.00955 
 2454759.960845 14.07466 0.00937 
 2454759.963038 14.08128 0.00934 
 2454759.965246 14.07534 0.00917 
 2454759.967438 14.08146 0.00934 
 2454759.969649 14.07134 0.00918 
 2454759.971850 14.08208 0.00902 
 2454759.974047 14.05864 0.00908 
 2454759.976255 14.05590 0.00897 
 2454759.978445 14.05396 0.00926 
 2454759.980655 14.05409 0.00994 
 2454759.982856 14.06324 0.01052 
 2454760.828970 14.05849 0.00796 
 2454760.839132 14.04984 0.00970 
 2454760.849290 14.06300 0.00903 
 2454760.859454 14.06255 0.00887 
 2454760.869619 14.06406 0.00921 
 2454760.879783 14.05851 0.00920 
 2454760.912836 14.06694 0.00893 
 2454760.917559 14.06173 0.00847 
 2454760.922284 14.04531 0.00794 
 2454760.927010 14.04535 0.00833 
 2454760.931731 14.07238 0.00940 
 2454760.936452 14.07236 0.00910 
 2454760.941168 14.07284 0.00868 
 2454760.945885 14.07224 0.00792 
 2454760.950601 14.05087 0.00863 
 2454777.788205 14.07390 0.00866 
 2454777.800129 14.08563 0.00784 
 2454777.812060 14.06951 0.00821 
 2454777.823994 14.08203 0.00806 
 2454777.845588 14.06181 0.00846 
 2454777.894135 14.07423 0.00826 
 2454777.903926 14.07403 0.00859 
 2454777.915896 14.08319 0.00845 
 2454777.935102 14.07669 0.00765 
 2454777.944695 14.06639 0.00827 
 2454778.778065 14.05341 0.01040 
 2454778.785702 14.06391 0.01036 
 2454778.793361 14.05433 0.01152 
 2454778.808645 14.06241 0.00985 
 2454778.826093 14.06895 0.01048 
 2454778.840931 14.06191 0.00997 
 2454778.848354 14.06419 0.00976 
 2454778.863188 14.05546 0.01016 
 2454779.776836 14.05286 0.01048 
 2454786.759329 14.05795 0.01182 
 2454786.766112 14.04412 0.01019 
 2454786.772896 14.06762 0.00971 
 2454786.779694 14.07887 0.01002 
 2454786.786478 14.05763 0.01037 
 2454786.793271 14.05720 0.01050 
 2454786.800061 14.06064 0.01067 
 2454786.806870 14.05835 0.01124 
 2454786.811415 14.04391 0.01191 
 2454786.815957 14.05295 0.01229 
 2454786.820506 14.06301 0.01226 
 2454786.825049 14.04537 0.01212 
 2454786.829579 14.06530 0.01177 
 2454786.834127 14.04106 0.01190 
 2454786.838672 14.04186 0.01274 
 2454786.843210 14.05269 0.01154 
 2454786.845312 14.05400 0.01116 
 2454786.847428 14.06369 0.01113 
 2454786.849541 14.05779 0.01101 
 2454786.851651 14.05079 0.01083 
 2454786.853764 14.05653 0.01155 
 2454786.855874 14.04912 0.01164 
 2454786.857990 14.05335 0.01170 
 2454786.860099 14.04580 0.01178 
 2454786.862208 14.04829 0.01195 
 2454786.864316 14.05954 0.01174 
 2454786.866432 14.05413 0.01166 
 2454786.868542 14.04509 0.01169 
 2454786.870655 14.06617 0.01160 
 2454786.872766 14.05871 0.01167 
 2454786.874879 14.05957 0.01165 
 2454786.876989 14.04651 0.01158 
 2454786.879104 14.07276 0.01156 
 2454786.881219 14.04927 0.01172 
 2454786.883335 14.06092 0.01205 
 2454786.885442 14.05424 0.01187 
 2454786.887552 14.06358 0.01219 
 2454786.889662 14.04261 0.01214 
 2454786.891777 14.04920 0.01235 
 2454786.893885 14.06037 0.01232 
 2454786.895990 14.06835 0.01216 
 2454786.898099 14.05490 0.01245 
 2454786.900212 14.05858 0.01249 
 2454786.902326 14.05643 0.01236 
 2454786.904441 14.07296 0.01207 
 2454786.906551 14.05624 0.01199 
 2454786.908661 14.04763 0.01204 
 2454786.910772 14.05697 0.01182 
 2454786.912882 14.05488 0.01181 
 2454786.917097 14.08642 0.01228 
 2454786.919207 14.06369 0.01207 
 2454787.755338 14.07171 0.00836 
 2454787.765136 14.05206 0.01048 
 2454787.774938 14.05699 0.00913 
 2454787.784756 14.05683 0.00951 
 2454787.804375 14.05757 0.00963 
 2454787.808917 14.05329 0.00976 
 2454787.813453 14.08388 0.00916 
 2454787.817993 14.05132 0.01021 
 2454787.822534 14.06039 0.01057 
 2454787.831623 14.06888 0.01045 
 2454787.843094 14.05290 0.00945 
 2454787.847629 14.06076 0.00898 
 2454787.852169 14.05896 0.00940 
 2454787.856716 14.06761 0.00993 
 2454787.861253 14.06286 0.00990 
 2454787.865793 14.05593 0.00975 
 2454787.870330 14.05715 0.00947 
 2454787.874870 14.06180 0.00918 
 2454787.879407 14.06876 0.01001 
 2454787.883956 14.07093 0.01009 
 2454787.888496 14.06363 0.01020 
 2454787.893043 14.05495 0.01006 
 2454787.897576 14.06478 0.00996 
 2454787.902121 14.05270 0.00999 
 2454787.906661 14.05245 0.01032 
 2454787.911205 14.06776 0.01058 
 2454787.915743 14.05789 0.01101 
 2454788.755449 14.05983 0.00854 
 2454788.765250 14.05446 0.00877 
 2454788.775055 14.07191 0.00857 
 2454788.794654 14.06111 0.00851 
 2454788.808996 14.06012 0.00937 
 2454788.813538 14.04203 0.00965 
 2454788.818070 14.03852 0.00928 
 2454788.822608 14.05843 0.00952 
 2454788.827150 14.07580 0.00960 
 2454788.836222 14.07213 0.00889 
 2454788.840762 14.07231 0.00864 
 2454788.845304 14.08039 0.00846 
 2454788.849853 14.05957 0.00874 
 2454788.854385 14.05190 0.00946 
 2454788.858931 14.05495 0.00939 
 2454788.863468 14.05655 0.00916 
 2454788.868010 14.06726 0.00881 
 2454788.872553 14.05531 0.00873 
 2454788.877099 14.06065 0.00860 
 2454788.881637 14.07338 0.00913 
 2454788.886181 14.05773 0.00929 
 2454788.890723 14.06187 0.00926 
 2454788.895264 14.05846 0.00918 
 2454788.899818 14.05140 0.00919 
 2454788.904360 14.06144 0.00926 
 2454788.908895 14.06695 0.00913 
 2454788.913430 14.06424 0.00918 
 2454789.754110 14.07211 0.00695 
 2454789.766079 14.06795 0.00761 
 2454789.778041 14.05475 0.00804 
 2454789.789988 14.06023 0.00792 
 2454789.801956 14.07012 0.00796 
 2454789.809373 14.04534 0.00835 
 2454789.831644 14.06198 0.00910 
 2454789.846950 14.06528 0.00882 
 2454789.854585 14.05184 0.00885 
 2454789.862234 14.06918 0.00957 
 2454789.869881 14.05472 0.00901 
 2454789.877527 14.04525 0.00910 
 2454789.882064 14.06352 0.00891 
 2454789.886602 14.06060 0.00876 
 2454789.891142 14.05202 0.00868 
 2454789.895680 14.05688 0.00899 
 2454789.900219 14.07226 0.00906 
 2454789.904765 14.04418 0.00914 
 2454789.911685 14.05136 0.00888 
 2454790.750743 14.06030 0.00724 
 2454790.762704 14.05828 0.00839 
 2454790.798579 14.03835 0.00848 
 2454790.835882 14.04943 0.00803 
 2454790.858813 14.06534 0.00890 
 2454790.866473 14.04669 0.00856 
 2454790.874105 14.05032 0.00833 
 2454790.878635 14.05859 0.00827 
 2454790.883177 14.07555 0.00794 
 2454790.887715 14.06262 0.00773 
 2454790.892253 14.05541 0.00780 
 2454790.896789 14.06981 0.00871 
 2454790.901313 14.05878 0.00826 
 2454790.908235 14.05136 0.00825 
 2454791.749116 14.05625 0.00740 
 2454791.761086 14.06480 0.00745 
 2454791.773037 14.07139 0.00745 
 2454791.784978 14.06892 0.00757 
 2454791.828055 14.06154 0.00838 
 2454791.847657 14.05310 0.00771 
 2454791.874688 14.07644 0.00822 
 2454791.882096 14.05433 0.00844 
 2454791.889512 14.04210 0.00995 
 2454791.896929 14.04824 0.00873 
 2454791.904346 14.05320 0.00862 
 2454792.757885 14.05677 0.00804 
 2454792.769829 14.08024 0.00622 
 2454792.781785 14.07181 0.00731 
 2454792.875863 14.05754 0.00936 
 2454792.885475 14.07170 0.00877 
 2454792.904719 14.07120 0.00699 
 2454793.777071 14.06674 0.00742 
 2454794.740211 14.08413 0.00706 
 2454794.752176 14.06454 0.00789 
 2454794.764138 14.05838 0.00782 
 2454794.776090 14.05520 0.00755 
 2454794.790295 14.07442 0.00708 
 2454794.809543 14.06256 0.00819 
 2454794.828960 14.06593 0.00753 
 2454794.838759 14.05532 0.00755 
 2454794.860584 14.07503 0.00915 
 2454794.870191 14.05869 0.00724 
 2454794.889436 14.06611 0.00797 
 2454794.899059 14.05697 0.00693 
