\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_020425_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 601      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:57:48 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454733.006681 11.87705 0.00196 
 2454733.008892 11.87302 0.00205 
 2454733.011090 11.87606 0.00214 
 2454733.013279 11.87622 0.00233 
 2454733.901125 11.86952 0.00183 
 2454733.911292 11.84435 0.00190 
 2454733.921461 11.84206 0.00180 
 2454733.975612 11.83398 0.00172 
 2454733.987543 11.82929 0.00170 
 2454733.992276 11.86591 0.00185 
 2454733.997003 11.87174 0.00184 
 2454734.001726 11.87221 0.00184 
 2454734.006453 11.86943 0.00194 
 2454734.011183 11.88053 0.00208 
 2454734.905837 11.86031 0.00186 
 2454734.918267 11.85153 0.00190 
 2454734.930691 11.85591 0.00186 
 2454734.943120 11.82655 0.00189 
 2454734.960785 11.84417 0.00181 
 2454734.976174 11.79829 0.00172 
 2454735.007888 11.85756 0.00196 
 2454737.895504 11.85932 0.00185 
 2454737.907936 11.86442 0.00180 
 2454737.920366 11.85961 0.00183 
 2454737.932813 11.86311 0.00176 
 2454737.945293 11.83483 0.00175 
 2454737.975308 11.84712 0.00174 
 2454737.985491 11.83721 0.00186 
 2454737.995667 11.85614 0.00177 
 2454738.005848 11.87432 0.00175 
 2454738.016019 11.85727 0.00241 
 2454738.895219 11.87625 0.00178 
 2454738.907643 11.86052 0.00173 
 2454738.920061 11.86108 0.00181 
 2454738.932473 11.87254 0.00175 
 2454738.972448 11.83453 0.00161 
 2454738.982609 11.85893 0.00177 
 2454738.992772 11.83886 0.00169 
 2454739.002951 11.86670 0.00173 
 2454739.015405 11.88291 0.00222 
 2454739.891311 11.87625 0.00177 
 2454739.903730 11.88149 0.00172 
 2454739.916144 11.83742 0.00148 
 2454739.928556 11.86958 0.00178 
 2454739.941012 11.86496 0.00172 
 2454739.991322 11.87972 0.00160 
 2454740.001486 11.88688 0.00158 
 2454741.887485 11.86942 0.00186 
 2454741.899906 11.86631 0.00182 
 2454741.912318 11.85834 0.00183 
 2454741.924734 11.85175 0.00188 
 2454741.934719 11.83650 0.00180 
 2454741.964697 11.84920 0.00177 
 2454741.974875 11.85349 0.00186 
 2454741.985039 11.86686 0.00171 
 2454741.995205 11.88094 0.00162 
 2454742.007665 11.88163 0.00174 
 2454742.897478 11.86379 0.00180 
 2454742.909906 11.84050 0.00176 
 2454742.922331 11.84542 0.00162 
 2454742.972515 11.85903 0.00178 
 2454742.982695 11.86352 0.00170 
 2454742.992869 11.87482 0.00166 
 2454743.005360 11.89058 0.00166 
 2454743.015363 11.86843 0.00193 
 2454743.880195 11.87004 0.00215 
 2454743.892611 11.85564 0.00184 
 2454743.905025 11.86764 0.00155 
 2454743.929876 11.85113 0.00186 
 2454743.980153 11.84446 0.00187 
 2454743.990306 11.86464 0.00184 
 2454744.002750 11.88884 0.00162 
 2454744.012736 11.87945 0.00178 
 2454745.873877 11.87231 0.00180 
 2454745.886296 11.86403 0.00176 
 2454745.898707 11.83522 0.00186 
 2454745.911117 11.72196 0.00186 
 2454745.923577 11.82503 0.00181 
 2454745.973874 11.85656 0.00192 
 2454745.984047 11.85122 0.00188 
 2454745.996517 11.86407 0.00190 
 2454746.006531 11.87829 0.00177 
 2454746.016512 11.87663 0.00212 
 2454746.873787 11.86346 0.00197 
 2454746.886196 11.87447 0.00187 
 2454746.898609 11.85335 0.00185 
 2454746.911015 11.86360 0.00192 
 2454746.961114 11.66906 0.00188 
 2454746.971263 11.86570 0.00187 
 2454746.981423 11.85427 0.00197 
 2454746.993882 11.86704 0.00196 
 2454747.003869 11.87155 0.00187 
 2454747.013857 11.88434 0.00198 
 2454747.870728 11.84868 0.00195 
 2454747.883144 11.83338 0.00188 
 2454747.895556 11.84467 0.00193 
 2454747.907964 11.83361 0.00187 
 2454747.917946 11.50017 0.00188 
 2454747.968236 11.74717 0.00187 
 2454747.978394 11.86097 0.00190 
 2454747.990849 11.86363 0.00197 
 2454748.000857 11.86419 0.00194 
 2454748.010841 11.86804 0.00196 
 2454748.868068 11.86601 0.00181 
 2454748.880441 11.86326 0.00180 
 2454748.892818 11.70974 0.00188 
 2454748.905191 11.82371 0.00187 
 2454748.915150 11.77199 0.00187 
 2454748.935061 11.87068 0.00187 
 2454748.965290 11.81070 0.00182 
 2454748.975422 11.85870 0.00187 
 2454748.987838 11.87972 0.00186 
 2454748.997800 11.87456 0.00185 
 2454749.007759 11.86676 0.00178 
 2454749.017711 11.86599 0.00204 
 2454749.865403 11.86112 0.00196 
 2454749.877826 11.84181 0.00184 
 2454749.890245 11.83240 0.00195 
 2454749.902658 11.80358 0.00182 
