KOI Name,NExScI Disposition,Kepler Name,Period,Time of Transit Epoch,First Transit Time (BJD),Impact Parameter,Duration,Transit Depth,r/R,Fitted Stellar Density,Planet Radius,Semi-major Axis,Inclination,Teq,Insolation Flux,a/R,Limb Darkening Coeff1,Limb Darkening Coeff2,Limb Darkening Coeff3,Limb Darkening Coeff4,Teff,log(g),Metallicity,Stellar Radius,Stellar Mass,Max single event sigma,Max Multievent sigma,Transit Model SNR,KOI count,Transit Number,Time err1,Time err2,Period err1,Period err2,Depth err1,Depth err2,Duration err1,Duration err2,Impact Parameter err1,Impact Parameter err2,r/R err1,r/R err2,a/R err1,a/R err2,Planet Radius err1,Planet Radius err2,Teff err1,Teff err2,log(g) err1,log(g) err2,Metallicity err1,Metallicity err2,Stellar Radius err1,Stellar Radius err2,Stellar Mass err2,Stellar Mass err1,Insolation Flux err1,Insolation Flux err2,Fitted Stellar Density err1,Fitted Stellar Density err2
K00992.01,CONFIRMED,Kepler-745 b,9.93146307,136.49128000000002,2454969.491,0.037000000000000005,5.678,398.6,0.018000000000000002,0.48317,2.41,0.091,89.84,931.0,177.83,13.607000000000001,0.419,0.256,0.0,0.0,5782.0,4.28,0.16,1.22,1.035,4.53,22.901,26.2,2,137,0.004,-0.004,5.186e-05,-5.186e-05,16.4,-16.4,0.127,-0.127,0.408,-0.037000000000000005,0.000728,-0.000421,0.355,-0.355,0.39,-0.35,78.0,-78.0,0.13699999999999998,-0.11199999999999999,0.15,-0.15,0.196,-0.17600000000000002,-0.063,0.079,74.92,-54.5,0.01261,-0.1918
K00992.02,CANDIDATE,,4.57834367,132.2982,2454965.298,0.23199999999999998,3.987,140.7,0.011000000000000001,0.5846899999999999,1.44,0.055,88.47,1206.0,499.41,8.652999999999999,0.419,0.256,0.0,0.0,5782.0,4.28,0.16,1.22,1.035,2.983,8.891,11.4,2,275,0.011000000000000001,-0.011000000000000001,6.382e-05,-6.382e-05,13.6,-13.6,0.289,-0.289,0.23,-0.23199999999999998,0.0004969999999999999,-0.0008560000000000001,0.6679999999999999,-0.6679999999999999,0.23,-0.21,78.0,-78.0,0.13699999999999998,-0.11199999999999999,0.15,-0.15,0.196,-0.17600000000000002,-0.063,0.079,210.4,-153.04,0.045110000000000004,-0.31824
K00982.01,FALSE POSITIVE,,1.5926331809999998,133.9243804,2454966.924,0.003,5.5605,633.1,0.022000000000000002,0.09265,1.56,0.023,89.93,1053.0,290.51,2.316,0.6659999999999999,0.077,0.0,0.0,4506.0,4.626,-0.2,0.6509999999999999,0.654,4.184,25.793000000000003,66.9,1,846,,,,,,,,,,,0.0,0.0,,,0.13,-0.12,121.0,-135.0,0.042,-0.027999999999999997,0.3,-0.3,0.053,-0.053,-0.054000000000000006,0.066,87.20999999999998,-73.45999999999998,0.0,0.0
K03924.01,FALSE POSITIVE,,1.5926341609999999,132.328769,2454965.329,0.877,8.9488,155156.0,0.519,0.06389,100.2,0.028999999999999998,64.63,2255.0,6128.09,2.046,0.293,0.31,0.0,0.0,6574.0,4.061,-0.22,1.768,1.317,532.246,3630.369,1207.6,1,389,0.0005,-0.0005,7.009999999999999e-07,-7.009999999999999e-07,158.0,-158.0,0.013000000000000001,-0.013000000000000001,0.012,-0.011000000000000001,0.008,-0.008,0.019,-0.019,27.04,-33.04,181.0,-227.0,0.264,-0.17600000000000002,0.25,-0.3,0.47700000000000004,-0.583,-0.251,0.182,4886.7,-3736.14,0.00061,-0.0008300000000000001
K07623.01,FALSE POSITIVE,,2.2227289,131.895,2454964.895,0.254,2.617,279.1,0.015,1.00737,34.14,0.051,87.73,4454.0,93172.12,6.41,0.547,0.17800000000000002,0.0,0.0,4996.0,2.354,0.07,20.848000000000003,3.5839999999999996,4.73,13.497,10.5,1,208,0.006,-0.006,2.444e-05,-2.444e-05,32.5,-32.5,0.29100000000000004,-0.29100000000000004,0.205,-0.254,0.001,-0.001,1.9,-1.9,0.76,-14.43,107.0,-250.0,0.027000000000000003,-0.03,0.15,-0.65,0.46399999999999997,-8.811,-2.3080000000000003,0.07200000000000001,12806.48,-67878.27,0.29745,-0.5637300000000001
K00362.01,FALSE POSITIVE,,14.022451457,177.5952096,2455010.595,0.18899999999999997,8.08619,20082.9,0.13,0.31051999999999996,14.93,0.114,89.27,810.0,101.92,14.777999999999999,0.35100000000000003,0.289,0.0,0.0,6061.0,4.401,-0.14,1.05,1.012,344.358,2487.494,2707.7,1,100,6.65e-05,-6.65e-05,1.166e-06,-1.166e-06,9.0,-9.0,0.006,-0.006,0.013000000000000001,-0.017,5.9e-05,-0.000109,0.128,-0.128,4.59,-1.98,162.0,-180.0,0.09,-0.195,0.3,-0.3,0.32299999999999995,-0.139,-0.11699999999999999,0.14300000000000002,91.75,-33.91,0.0026899999999999997,-0.0026899999999999997
K04924.01,FALSE POSITIVE,,3.0031801,132.1161,2454965.116,0.98,2.8139999999999996,374.7,0.024,0.038439999999999995,4.7,0.045,68.19,1827.0,2630.88,2.64,0.293,0.31,0.0,0.0,6606.0,4.071000000000001,-0.16,1.768,1.349,4.5360000000000005,12.362,13.9,1,58,0.073,-0.073,0.000177,-0.000177,27.7,-27.7,0.136,-0.136,0.035,-0.764,0.002,-0.008,1.3,-1.3,1.41,-1.55,181.0,-250.0,0.258,-0.172,0.25,-0.3,0.53,-0.583,-0.29600000000000004,0.182,2321.28,-1618.01,2.5545400000000003,-0.07827
K03658.01,FALSE POSITIVE,,2.252417903,132.436339,2454965.4359999998,1.198,1.9767,32296.0,0.456,1.46,27.09,0.027000000000000003,80.57,782.0,88.43000000000002,7.32,0.424,0.289,0.0,0.0,3979.0,4.699,-0.26,0.544,0.539,68.88,898.2410000000001,129.5,1,1007,0.0005099999999999999,-0.0005099999999999999,1.2609999999999999e-06,-1.2609999999999999e-06,306.0,-306.0,0.022000000000000002,-0.022000000000000002,24.64,-0.027000000000000003,24.573,-0.025,3.7,-3.7,1.3,-1.94,71.0,-79.0,0.042,-0.018000000000000002,0.15,-0.15,0.026000000000000002,-0.039,-0.028999999999999998,0.036000000000000004,15.77,-18.1,200.60458,-0.06139
K04359.01,CANDIDATE,,0.629001455,131.55662,2454964.557,0.365,1.263,14.7,0.004,2.25862,0.81,0.016,84.2,3375.0,30567.67,3.61,0.273,0.318,0.0,0.0,6739.0,3.948,-0.24,2.059,1.375,3.69,10.472000000000001,9.4,1,2127,0.006,-0.006,4.57e-06,-4.57e-06,2.0,-2.0,0.20199999999999999,-0.20199999999999999,0.10400000000000001,-0.365,0.00020299999999999997,-0.000349,1.7,-1.7,0.17,-0.24,161.0,-202.0,0.259,-0.111,0.3,-0.25,0.439,-0.604,-0.239,0.196,18880.37,-17052.93,15.02837,-1.4653399999999999
K03145.01,CANDIDATE,,4.53702121,132.1846,2454965.185,0.706,1.8130000000000002,504.4,0.022000000000000002,2.61043,1.66,0.049,87.14,798.0,95.61,14.16,0.619,0.114,0.0,0.0,4805.0,4.633,-0.06,0.688,0.769,3.656,13.821,15.7,2,286,0.004,-0.004,2.498e-05,-2.498e-05,36.5,-36.5,0.124,-0.124,0.057999999999999996,-0.491,0.005,-0.002,6.3,-6.3,0.19,-0.11,144.0,-144.0,0.027000000000000003,-0.059000000000000004,0.3,-0.3,0.079,-0.045,-0.079,0.053,38.11,-21.67,4.63396,-2.2154
K03145.02,CANDIDATE,,0.9773114890000001,131.70299,2454964.703,0.01,1.403,250.7,0.013999999999999999,3.17024,1.06,0.018000000000000002,89.9,1331.0,737.36,5.43,0.619,0.114,0.0,0.0,4805.0,4.633,-0.06,0.688,0.769,4.127,12.243,14.8,2,1266,0.003,-0.003,4.631e-06,-4.631e-06,20.5,-20.5,0.127,-0.127,0.461,-0.01,0.001,-0.00066,0.61,-0.61,0.12,-0.07,144.0,-144.0,0.027000000000000003,-0.059000000000000004,0.3,-0.3,0.079,-0.045,-0.079,0.053,293.96,-167.1,0.35594000000000003,-1.8110400000000002
K00993.01,CONFIRMED,Kepler-262 c,21.85362905,144.32031,2454977.32,0.6759999999999999,3.4389999999999996,355.6,0.018000000000000002,2.00195,1.75,0.151,88.95,618.0,34.57,37.0,0.39299999999999996,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,4.4639999999999995,19.609,23.0,3,60,0.004,-0.004,9.226e-05,-9.226e-05,16.7,-16.7,0.10800000000000001,-0.10800000000000001,0.035,-0.511,0.004,-0.001,13.9,-13.9,0.47,-0.16,146.0,-161.0,0.044000000000000004,-0.187,0.3,-0.3,0.23399999999999999,-0.078,-0.122,0.099,26.7,-8.92,3.01982,-0.14022
K00993.02,CONFIRMED,Kepler-262 b,13.0607936,137.63148,2454970.631,0.718,3.215,236.6,0.015,1.22851,1.45,0.107,88.16,734.0,68.66,22.29,0.39299999999999996,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,4.243,16.737000000000002,19.4,3,101,0.006,-0.006,0.0001053,-0.0001053,14.1,-14.1,0.195,-0.195,0.262,-0.49,0.006,-0.001,9.9,-9.9,0.38,-0.13,146.0,-161.0,0.044000000000000004,-0.187,0.3,-0.3,0.23399999999999999,-0.078,-0.122,0.099,53.04,-17.72,2.18168,-1.19934
K00993.03,FALSE POSITIVE,,86.723653,195.3511,2455028.351,0.662,4.852,241.0,0.015,2.9203799999999998,1.43,0.38,89.64,391.0,5.5,105.1,0.39299999999999996,0.268,0.0,0.0,5830.0,4.54,-0.14,0.8759999999999999,0.97,3.949,7.676,9.4,3,16,0.017,-0.017,0.002,-0.002,28.0,-28.0,0.506,-0.506,0.31,-0.466,0.004,-0.001,52.5,-52.5,0.39,-0.12,146.0,-161.0,0.044000000000000004,-0.187,0.3,-0.3,0.23399999999999999,-0.078,-0.122,0.099,4.24,-1.42,4.3729,-0.41183000000000003
K04053.01,CANDIDATE,,1.41975831,132.92,2454965.92,0.644,1.429,60.9,0.008,1.9590400000000001,0.85,0.025,83.77,1700.0,1968.38,5.93,0.35100000000000003,0.289,0.0,0.0,5925.0,4.394,-0.14,1.035,0.968,3.571,14.809000000000001,8.1,1,950,0.006999999999999999,-0.006999999999999999,1.229e-05,-1.229e-05,8.8,-8.8,0.239,-0.239,0.341,-0.44,0.004,-0.000767,2.0,-2.0,0.13,-0.08,107.0,-119.0,0.084,-0.11599999999999999,0.15,-0.15,0.157,-0.105,-0.067,0.067,836.24,-503.0,1.98658,-1.9184299999999999
K04644.01,CANDIDATE,,3.44928111,133.38221000000001,2454966.3819999998,0.534,1.4240000000000002,237.0,0.013999999999999999,6.484030000000001,1.23,0.043,88.08,966.0,206.55,15.98,0.575,0.15,0.0,0.0,5119.0,4.591,0.14,0.7809999999999999,0.879,3.2060000000000004,10.004,9.7,1,387,0.005,-0.005,2.122e-05,-2.122e-05,29.2,-29.2,0.16399999999999998,-0.16399999999999998,0.43200000000000005,-0.317,0.000472,-0.002,6.7,-6.7,0.16,-0.09,154.0,-139.0,0.024,-0.09,0.25,-0.3,0.10300000000000001,-0.055,-0.092,0.05,91.39,-46.68,5.433330000000001,-3.3990199999999997
K01008.01,FALSE POSITIVE,,569.934135,248.94045,2455081.94,0.919,4.1904,18904.0,0.174,25.414189999999998,38.98,1.317,89.93,296.0,1.81,759.0,0.45299999999999996,0.233,0.0,0.0,5367.0,3.783,-0.46,2.057,0.935,154.567,164.416,66.7,1,3,0.002,-0.002,0.002,-0.002,296.0,-296.0,0.062,-0.062,12.44,-0.076,12.35,-0.03,378.0,-378.0,11.11,-4.76,75.0,-86.0,0.084,-0.14400000000000002,0.15,-0.15,0.586,-0.251,-0.078,0.195,1.35,-0.5,481.51690999999994,-6.54166
K07624.01,CANDIDATE,,330.02500200000003,364.8075,2455197.808,0.68,6.659,259.2,0.016,4.04249,5.92,1.107,89.86,478.0,12.36,286.0,0.319,0.308,0.0,0.0,6126.0,3.5780000000000003,0.06,3.466,1.6580000000000001,5.736000000000001,7.468999999999999,12.2,1,4,0.012,-0.012,0.006999999999999999,-0.006999999999999999,28.3,-28.3,0.604,-0.604,0.276,-0.457,0.000769,-0.001,127.0,-127.0,0.79,-2.39,185.0,-167.0,0.345,-0.115,0.25,-0.25,0.466,-1.399,-0.39,0.16699999999999998,5.55,-8.42,14.3905,-3.71379
K04224.01,FALSE POSITIVE,,1.975208831,131.63127,2454964.631,0.5589999999999999,1.5130000000000001,76.3,0.008,2.87132,1.59,0.033,86.18,2064.0,4299.89,8.4,0.293,0.31,0.0,0.0,6401.0,4.029,-0.2,1.744,1.185,3.07,13.105,15.1,1,676,0.004,-0.004,8.234e-06,-8.234e-06,6.5,-6.5,0.121,-0.121,0.387,-0.337,0.000308,-0.000528,3.7,-3.7,0.24,-0.35,77.0,-77.0,0.196,-0.098,0.15,-0.1,0.273,-0.376,-0.098,0.135,1733.32,-1779.24,3.7792800000000004,-0.24005
K04212.01,CONFIRMED,Kepler-1569 b,5.79179934,133.35814,2454966.358,0.8959999999999999,3.4739999999999998,118.5,0.012,0.12599000000000002,1.69,0.065,81.51,1222.0,528.14,6.07,0.32,0.305,0.0,0.0,6174.0,4.244,0.02,1.318,1.109,4.083,13.564,17.7,2,233,0.005,-0.005,3.35e-05,-3.35e-05,7.2,-7.2,0.132,-0.132,0.064,-0.7020000000000001,0.00016,-0.002,2.9,-2.9,0.31,-0.26,74.0,-86.0,0.125,-0.125,0.15,-0.15,0.243,-0.19899999999999998,-0.066,0.113,248.86,-168.22,1.0961100000000001,-0.09869
K04212.02,CANDIDATE,,10.0989634,132.3351,2454965.335,0.529,6.428,57.0,0.006999999999999999,0.20339000000000002,1.03,0.095,87.06,1016.0,251.36,10.31,0.32,0.305,0.0,0.0,6174.0,4.244,0.02,1.318,1.109,2.641,8.891,8.9,2,122,0.008,-0.008,0.0001171,-0.0001171,7.2,-7.2,0.47200000000000003,-0.47200000000000003,0.435,-0.325,0.003,-8.9e-05,5.1,-5.1,0.18,-0.16,74.0,-86.0,0.125,-0.125,0.15,-0.15,0.243,-0.19899999999999998,-0.066,0.113,118.44,-80.06,2.59097,-0.13935999999999998
K01007.01,CONFIRMED,Kepler-748 b,7.40742502,355.49652000000003,2455188.497,0.03,3.675,442.0,0.019,1.33381,2.01,0.07400000000000001,89.89,938.0,183.15,15.698,0.35100000000000003,0.289,0.0,0.0,5922.0,4.474,-0.08,0.961,1.002,3.987,19.42,23.1,1,151,0.003,-0.003,3.66e-05,-3.66e-05,21.0,-21.0,0.10099999999999999,-0.10099999999999999,0.401,-0.03,0.000799,-0.000495,0.912,-0.912,0.62,-0.21,184.0,-205.0,0.054000000000000006,-0.21600000000000003,0.25,-0.3,0.297,-0.099,-0.127,0.14,171.57,-55.16,0.07746,-0.4823
K04925.01,FALSE POSITIVE,,2.96384168,134.119473,2454967.119,1.0590000000000002,5.4768,35652.8,0.34600000000000003,0.10239,43.7,0.042,73.0,1406.0,925.63,3.62,0.366,0.284,0.0,0.0,6095.0,4.371,0.14,1.158,1.1540000000000001,229.50400000000002,2278.632,607.5,1,241,0.00022200000000000003,-0.00022200000000000003,8.19e-07,-8.19e-07,71.4,-71.4,0.015,-0.015,0.47200000000000003,-0.087,0.42200000000000004,-0.066,1.3,-1.3,13.97,-6.0,169.0,-232.0,0.087,-0.203,0.2,-0.3,0.37,-0.159,-0.166,0.151,872.33,-335.79,0.03589,-0.00293
K02538.01,CANDIDATE,,39.831253600000004,155.6409,2454988.641,0.24,2.4419999999999997,388.8,0.018000000000000002,22.32456,1.46,0.212,89.89,420.0,7.33,123.3,0.568,0.153,0.0,0.0,5026.0,4.58,0.0,0.759,0.8,4.52,13.026,15.8,1,36,0.005,-0.005,0.00020659999999999998,-0.00020659999999999998,29.7,-29.7,0.163,-0.163,0.223,-0.24,0.001,-0.0007740000000000001,34.6,-34.6,0.1,-0.06,100.0,-100.0,0.024,-0.048,0.15,-0.15,0.05,-0.034,-0.048,0.038,1.68,-1.16,6.26486,-9.90318
K01002.01,CONFIRMED,Kepler-746 b,3.4815917,132.98828,2454965.988,0.076,1.8069,135.2,0.01,5.1037,1.17,0.043,89.71,1156.0,421.61,14.843,0.469,0.22399999999999998,0.0,0.0,5405.0,4.374,0.21,1.022,0.902,3.261,19.788,23.4,1,387,0.002,-0.002,1.036e-05,-1.036e-05,6.8,-6.8,0.075,-0.075,0.37799999999999995,-0.076,0.000529,-0.00028900000000000003,0.833,-0.833,0.14,-0.15,108.0,-97.0,0.121,-0.08800000000000001,0.15,-0.15,0.129,-0.129,-0.038,0.061,157.19,-122.21,0.28648,-2.26044
K04926.01,CANDIDATE,,69.089357,135.4461,2454968.446,0.051,6.207000000000001,475.1,0.019,2.57178,1.47,0.289,89.97,332.0,2.87,86.6,0.602,0.126,0.0,0.0,4848.0,4.581,-0.28,0.698,0.679,3.6710000000000003,7.635,8.6,1,20,0.027999999999999997,-0.027999999999999997,0.002,-0.002,73.5,-73.5,0.93,-0.93,0.41600000000000004,-0.051,0.002,-0.002,39.3,-39.3,0.13,-0.14,131.0,-146.0,0.063,-0.036000000000000004,0.3,-0.3,0.062,-0.068,-0.047,0.081,0.92,-0.8,2.3355099999999998,-2.5395
K07625.01,FALSE POSITIVE,,6.12601169,134.83637,2454967.836,0.42200000000000004,1.733,40.2,0.006,7.57688,0.83,0.062,89.02,1141.0,400.49,24.7,0.37200000000000005,0.27899999999999997,0.0,0.0,5679.0,4.146,-0.3,1.286,0.8440000000000001,3.522,7.285,7.0,1,218,0.009000000000000001,-0.009000000000000001,8.921e-05,-8.921e-05,8.5,-8.5,0.451,-0.451,0.045,-0.42200000000000004,0.000762,-0.0008460000000000001,12.1,-12.1,0.26,-0.27,152.0,-152.0,0.364,-0.196,0.3,-0.25,0.41100000000000003,-0.41100000000000003,-0.078,0.11699999999999999,374.61,-234.15,22.330270000000002,-6.21051
K04927.01,FALSE POSITIVE,,43.142257,132.3007,2454965.301,1.179,61.73,283.2,0.196,4e-05,37.88,0.265,41.66,706.0,58.68,1.579,0.324,0.305,0.0,0.0,6198.0,4.069,0.14,1.7690000000000001,1.338,3.835,8.607999999999999,30.5,1,34,0.061,-0.061,0.003,-0.003,11.4,-11.4,3.0,-3.0,4.75,-0.045,4.743,-0.044000000000000004,0.7859999999999999,-0.7859999999999999,6.94,-8.46,74.0,-80.0,0.174,-0.11599999999999999,0.15,-0.15,0.324,-0.395,-0.159,0.11900000000000001,27.45,-25.07,0.0023899999999999998,0.0
K01001.01,CONFIRMED,Kepler-264 b,40.8065333,155.71586000000002,2454988.716,0.016,13.135,313.9,0.016,0.15947,3.71,0.264,89.96,772.0,83.75,24.123,0.32799999999999996,0.306,0.0,0.0,6207.0,3.963,0.24,2.097,1.472,8.064,31.338,54.8,2,34,0.004,-0.004,0.00020830000000000002,-0.00020830000000000002,6.2,-6.2,0.125,-0.125,0.401,-0.016,0.000417,-0.000188,0.10099999999999999,-0.10099999999999999,0.62,-1.0,112.0,-125.0,0.195,-0.105,0.15,-0.15,0.35,-0.569,-0.198,0.126,38.75,-42.76,0.00067,-0.062229999999999994
K01001.02,CONFIRMED,Kepler-264 c,140.10765,216.21749,2455049.2169999997,0.019,18.503,266.8,0.015,0.19495,3.42,0.601,89.98,511.0,16.17,58.7,0.32799999999999996,0.306,0.0,0.0,6207.0,3.963,0.24,2.097,1.472,6.421,14.671,29.0,2,9,0.01,-0.01,0.002,-0.002,9.6,-9.6,0.33299999999999996,-0.33299999999999996,0.36700000000000005,-0.019,0.0005059999999999999,-0.000244,5.4,-5.4,0.57,-0.93,112.0,-125.0,0.195,-0.105,0.15,-0.15,0.35,-0.569,-0.198,0.126,7.48,-8.25,0.01805,-0.04662
K02351.01,CANDIDATE,,10.27380957,134.65748,2454967.6569999997,0.125,3.252,352.8,0.017,2.59443,1.68,0.092,89.71,799.0,96.27,24.37,0.40399999999999997,0.262,0.0,0.0,5806.0,4.5280000000000005,-0.04,0.899,0.996,4.465,17.772000000000002,19.2,1,126,0.005,-0.005,5.929e-05,-5.929e-05,20.5,-20.5,0.141,-0.141,0.33399999999999996,-0.125,0.000889,-0.00047599999999999997,4.1,-4.1,0.16,-0.08,69.0,-87.0,0.023,-0.068,0.15,-0.15,0.084,-0.045,-0.066,0.046,24.4,-14.49,0.44009,-0.9427200000000001
