\STAR_ID                              = "Proxima Cen"
\DATA_CATEGORY                        = "Photometric light curve"
\RA                                   = "14h29m42.95s"
\RA_UNITS                             = "sexagesimal"
\DEC                                  = "-62d40m46.1s"
\DEC_UNITS                            = "sexagesimal"
\EQUINOX                              = "J2000.0"
\NUMBER_OF_POINTS                     = "1813"
\TIME_REFERENCE_FRAME                 = "JD"
\MINIMUM_DATE                         = "2457402.84676"
\MAXIMUM_DATE                         = "2457502.91435"
\DATE_UNITS                           = "days"
\REFERENCES                           = "Anglada-Escudé et al. 2016"
\BIBCODES                             = "2016Natur.536..437A"
\TELESCOPE                            = "Astrograph for the South Hemisphere II telescope"
\INSTRUMENT                           = "unknown"
\TIME_SERIES_DATA_FILTER              = "H-alpha"
\OBSERVATORY_SITE                     = "San Pedro de Atacama Celestial Explorations Observatory (SPACEOBS)"
\COLUMN_JD                            = "Julian Day"
\COMMENT                              = "H-alpha is centered on 0.656 micron. Uncertainties of individual points are ~6 mmag."
|               JD| RELATIVE_MAGNITUDE| MAGNITUDE_UNCERTAINTY|      RELATIVE_FLUX| FLUX_UNCERTAINTY|
|           double|             double|                double|             double|           double|
|             days|                mag|                   mag|                   |                 |
  2457414.83079                                                     1.019717799                      
  2457414.83475                                                     1.004893414                      
  2457414.8397                                                    1.0140981723                      
  2457414.84357                                                     1.003690930                      
  2457414.84741                                                     1.011299983                      
  2457414.85125                                                     1.002489886                      
  2457414.85519                                                     1.008509514                      
  2457414.85904                                                     1.014378416                      
  2457414.86293                                                     1.009531791                      
  2457414.86681                                                     1.006190007                      
  2457415.79111                                                     1.006282685                      
  2457415.79502                                                     0.997148866                      
  2457415.79895                                                     1.006190007                      
  2457415.80292                                                     1.000552773                      
  2457415.8068                                                    0.9954971018                      
  2457415.81073                                                     1.001105851                      
  2457415.81463                                                     0.991379650                      
  2457415.81859                                                     0.998435467                      
  2457415.82245                                                     0.999907900                      
  2457415.82636                                                     0.986188650                      
  2457415.83025                                                     1.003044036                      
  2457415.83415                                                     1.009996805                      
  2457415.83807                                                     1.002489886                      
  2457415.84204                                                     1.007581071                      
  2457415.8459                                                    0.9937565404                      
  2457415.84992                                                     0.994397445                      
  2457415.85377                                                     1.004430750                      
  2457415.85763                                                     0.991836302                      
  2457415.86147                                                     0.998987375                      
  2457415.86527                                                     1.002859285                      
  2457416.79122                                                     1.065516059                      
  2457416.79507                                                     1.061500003                      
  2457416.79897                                                     1.061206740                      
  2457416.80287                                                     1.047321454                      
  2457416.80638                                                     1.050316045                      
  2457416.81032                                                     1.021786122                      
  2457416.81418                                                     1.022916066                      
  2457416.8186                                                    1.0110205892                      
  2457416.82299                                                     1.012698111                      
  2457416.82688                                                     0.996689768                      
  2457416.83088                                                     1.002397558                      
  2457416.83472                                                     1.008045186                      
  2457416.83867                                                     1.009810773                      
  2457416.8425                                                    1.0084166320                      
  2457416.84638                                                     1.007766691                      
  2457416.85029                                                     1.001751496                      
  2457416.85412                                                     1.018403773                      
  2457416.85814                                                     1.003690930                      
  2457416.862                                                               1                      
  2457416.86594                                                     1.007209932                      
  2457416.8698                                                    1.0292479247                      
  2457417.80474                                                     0.997975776                      
  2457417.80867                                                     0.995038763                      
  2457417.81294                                                     1.003413639                      
  2457417.81687                                                     0.990375754                      
  2457417.82077                                                     0.979760665                      
  2457417.82461                                                     0.988462049                      
  2457417.82847                                                     0.993024583                      
  2457417.83231                                                     0.989190643                      
  2457417.83616                                                     0.994122721                      
  2457417.84                                                   0.991653616351                      
  2457417.84396                                                     0.996139129                      
  2457417.84783                                                     0.992750238                      
  2457417.85174                                                     0.996322641                      
  2457417.85563                                                     1.004800864                      
  2457417.85975                                                     0.991744955                      
  2457417.86365                                                     0.998803372                      
  2457417.86763                                                     0.995955650                      
  2457417.8719                                                    1.0054488923                      
  2457418.79116                                                     1.066006861                      
  2457418.79511                                                     1.077159460                      
  2457418.79908                                                     1.067677277                      
  2457418.80297                                                     1.045105179                      
  2457418.8072                                                    1.0493491135                      
  2457418.81122                                                     1.074682062                      
  2457418.81505                                                     1.057109559                      
  2457418.81892                                                     1.045490281                      
  2457418.82278                                                     1.045297712                      
  2457418.82663                                                     1.031715606                      
  2457418.83052                                                     1.037910725                      
  2457418.83455                                                     1.043758439                      
  2457418.83853                                                     1.040495005                      
  2457418.84243                                                     1.042317429                      
  2457418.84633                                                     1.039728623                      
  2457418.8502                                                    1.0516712461                      
  2457418.85408                                                     1.048962590                      
  2457418.85793                                                     1.039632864                      
  2457418.8615                                                    1.0218802368                      
  2457418.8653                                                    1.0355235974                      
  2457419.7911                                                    0.9979757766                      
  2457419.79496                                                     0.996139129                      
  2457419.79886                                                     0.983286326                      
  2457419.8027                                                    0.9917449552                      
  2457419.80659                                                     0.983648649                      
  2457419.8105                                                    0.9794899854                      
  2457419.81439                                                     0.977867472                      
  2457419.8183                                                    0.9870064710                      
  2457419.82218                                                     0.975259074                      
  2457419.82609                                                     0.982652582                      
  2457419.82993                                                     0.988097953                      
  2457419.83383                                                     0.977327231                      
  2457419.83776                                                     0.988097953                      
  2457419.8416                                                    0.9901021418                      
  2457419.8455                                                    0.9922017758                      
  2457419.8494                                                    0.9897374419                      
  2457419.85329                                                     1.021409751                      
  2457419.85691                                                     1.020281471                      
  2457419.86073                                                     0.992567383                      
  2457419.86456                                                     0.985371506                      
  2457420.8161                                                    0.9765174311                      
  2457420.82002                                                     0.981024830                      
  2457420.82386                                                     0.981024830                      
  2457420.8277                                                    0.9702418424                      
  2457420.83154                                                     0.988279985                      
  2457420.83552                                                     0.990010954                      
  2457420.83944                                                     0.972299360                      
  2457420.8434                                                    0.9624097187                      
  2457420.8473                                                    0.9731952935                      
  2457420.85112                                                     0.984011105                      
  2457420.85499                                                     0.996230881                      
  2457420.85889                                                     0.975528585                      
  2457420.86277                                                     0.976247646                      
  2457420.86663                                                     0.995313741                      
