KOI Name,Predicted Disposition,Probability,Period (days),T0 (BJD-2454833),Duration (hr),Impact,R_p/R*,Kepler ID
K01127.03,CONFIRMED,0.96757084,2.83668931,353.81531,3.031,0.33,0.012,6359320
K02029.04,CONFIRMED,0.967085,4.78850084,135.4574,2.099,0.34299999999999997,0.006999999999999999,9489524
K02971.02,CONFIRMED,0.9668975,31.9533679,159.6588,8.424,0.773,0.01,4770174
K01338.02,CONFIRMED,0.9664333,42.0370662,178.25006000000005,6.282,0.672,0.016,4466677
K00115.03,CONFIRMED,0.9645481,3.43591631,132.6624,3.133,0.624,0.005,9579641
K02169.02,CONFIRMED,0.9623748,3.26662733,136.08452,2.056,0.623,0.006999999999999999,9006186
K03196.02,CONFIRMED,0.9619986,6.88297756,134.16423999999998,2.065,0.7070000000000001,0.005,9002538
K02439.02,CONFIRMED,0.96195567,7.501793400000001,138.8271,4.271,0.28600000000000003,0.011000000000000001,6867555
K01236.04,CONFIRMED,0.96062565,98.353149,217.88299999999998,24.708000000000002,0.9059999999999999,0.022000000000000002,6677841
K01573.01,CONFIRMED,0.959998,24.81097206,156.506971,3.2245,0.039,0.042,5031857
K03425.03,CONFIRMED,0.9588845,7.64370363,137.87526,2.738,0.785,0.008,9117416
K01420.01,CONFIRMED,0.95861775,13.35151248,363.086742,3.6045,0.573,0.054000000000000006,11026304
K01458.01,CONFIRMED,0.9578604,8.98128472,354.83042,5.0397,0.294,0.064,12120943
K01815.02,CONFIRMED,0.9575387,1.74610057,131.7921,1.2990000000000002,0.032,0.006,9872283
K04567.02,CONFIRMED,0.95705396,4.67250377,135.23678,4.441,0.95,0.01,8332521
K01860.03,CONFIRMED,0.95687306,3.07644709,353.7643,2.6326,0.708,0.013999999999999999,4157325
K00647.02,CONFIRMED,0.9564401,8.1134681,132.8253,4.961,0.45399999999999996,0.006,5531694
K03398.03,CONFIRMED,0.95548916,4.32710579,131.5891,3.872,0.025,0.008,3561464
K00379.02,CONFIRMED,0.955356,23.1375919,152.17335,3.35,0.429,0.01,2446113
K04383.02,CONFIRMED,0.9553323,2.58393841,131.80729,2.169,0.22899999999999998,0.006,9883606
K02004.03,CONFIRMED,0.9550303,1.72110057,132.76068,1.922,0.767,0.005,12154526
K04524.02,CONFIRMED,0.9540394,4.52628739,134.32065,3.736,0.5,0.009000000000000001,5003670
K00474.03,CONFIRMED,0.95354056,94.886902,214.82879,6.922999999999999,0.982,0.035,10460984
K06259.02,CONFIRMED,0.95304424,7.18864064,133.14566000000002,2.364,0.424,0.011000000000000001,2161949
K02103.02,CONFIRMED,0.9528662,3.66520844,131.50911000000002,3.3080000000000003,0.045,0.006999999999999999,7620413
K02055.03,CONFIRMED,0.9527875,2.50475282,133.63645,2.376,0.13,0.012,3128552
K06191.02,CONFIRMED,0.95243,12.7713826,141.3553,3.347,0.374,0.011000000000000001,9093086
K00082.06,CONFIRMED,0.95168936,22.4098677,147.38366000000005,2.271,0.8690000000000001,0.009000000000000001,10187017
K03077.02,CONFIRMED,0.9509139,7.55842923,137.9981,2.91,0.619,0.018000000000000002,2715695
K00902.01,CONFIRMED,0.9495697,83.92494032,236.76334,6.7904,0.6579999999999999,0.086,8018547
K02059.02,CONFIRMED,0.9480181,2.18565886,132.45418,1.966,0.39399999999999996,0.005,12301181
K04421.02,CONFIRMED,0.94792736,6.5595368,132.0079,4.324,0.37799999999999995,0.005,9836563
K02739.02,CONFIRMED,0.9477575,7.095639500000001,135.0007,3.465,0.06,0.009000000000000001,4831728
K04477.02,CONFIRMED,0.94763136,9.32867952,135.87513,1.5719999999999998,0.035,0.017,6276791
K01831.03,CONFIRMED,0.9471626,34.205785079,148.8050925,5.1691,0.319,0.012,11601584
K02263.03,CONFIRMED,0.9467375,15.5943758,140.3138,7.367000000000001,0.5,0.009000000000000001,8613535
K03801.01,CONFIRMED,0.946056,288.3128666,374.79958,5.419,0.525,0.099,8827930
K01840.02,CONFIRMED,0.94595504,9.3888216,134.42144,4.154,1.14,0.154,7765528
K04838.03,CONFIRMED,0.9449147,24.0721647,148.9637,3.1710000000000003,0.9490000000000001,0.016,8216763
K00191.02,CONFIRMED,0.944384,2.418406841,132.50558700000002,2.0744,0.018000000000000002,0.023,5972334
K04504.02,CONFIRMED,0.94329727,8.119342999999999,135.1862,3.5580000000000003,0.032,0.017,6520753
K02163.03,CONFIRMED,0.94317085,28.2251049,153.7452,2.354,0.778,0.013999999999999999,11358389
K02623.02,CONFIRMED,0.9427057,4.02664625,134.3954,3.7710000000000004,0.094,0.005,10916600
K00892.02,CONFIRMED,0.94238025,3.96996298,137.75447,1.1757,0.836,0.018000000000000002,7678434
K02029.03,CONFIRMED,0.9422555,6.8873112999999995,132.0711,2.214,0.489,0.009000000000000001,9489524
K01563.03,CONFIRMED,0.9394072,3.20539622,354.63069,2.1430000000000002,0.512,0.02,5219234
K01843.02,CONFIRMED,0.93833333,6.35585682,137.49837,1.55,0.912,0.015,5080636
K04146.02,CONFIRMED,0.93793476,2.5738437000000003,132.17126000000002,1.92,0.044000000000000004,0.006,10000941
K00280.01,CONFIRMED,0.93688834,11.87290814,180.895933,2.5342,0.904,0.02,4141376
K00605.02,CONFIRMED,0.9367466,5.06546874,131.94499,2.2030000000000003,0.47700000000000004,0.01,4832837
K02298.03,CONFIRMED,0.93664056,2.47240869,132.44083999999998,1.87,0.319,0.006,9334893
K04700.02,CONFIRMED,0.93592453,66.47762,184.2673,4.487,0.384,0.022000000000000002,9413156
K01519.02,CONFIRMED,0.93574846,57.132855000000006,152.9919,4.958,0.32,0.018000000000000002,7663405
K02840.02,CONFIRMED,0.9353939,7.446463499999999,137.3391,4.084,0.531,0.008,6467363
K01498.02,CONFIRMED,0.93529767,2.42150341,133.83517,2.965,0.55,0.012,9636135
K02174.04,CONFIRMED,0.93255603,3.01609637,131.55327,1.57,0.7,0.013999999999999999,8261920
K01358.02,CONFIRMED,0.9323103,8.74292005,358.59286000000014,2.6277,0.025,0.025,7376983
K00005.01,CONFIRMED,0.9312289,4.780327581,132.974086,2.0253,0.9520000000000001,0.037000000000000005,8554498
K00426.01,CONFIRMED,0.9283917,16.30141333,172.14753000000005,3.5764,0.7859999999999999,0.031,10016874
K02924.02,CONFIRMED,0.92769516,8.85686712,134.13633000000002,0.606,0.9229999999999999,0.022000000000000002,7609553
K03770.01,CONFIRMED,0.927311,2.60720833,131.84843999999998,2.6452,0.644,0.054000000000000006,5008245
K00896.03,CONFIRMED,0.92656964,28.8672107,156.19578,3.782,0.040999999999999995,0.017,7825899
K00521.02,CONFIRMED,0.9255662,10.8206034,140.5078,2.8480000000000003,0.5920000000000001,0.01,8162789
K02093.02,CONFIRMED,0.9244865,2.508116,133.98497,2.504,0.47200000000000003,0.013000000000000001,6525946
K02906.03,CONFIRMED,0.92402846,21.94243160000001,143.8807,7.447,0.413,0.008,6716545
K02732.04,CONFIRMED,0.9221566,24.560710699999998,146.7938,8.679,0.374,0.006999999999999999,9886361
K01151.04,CONFIRMED,0.9209013,17.453294500000002,146.66244,4.027,0.35700000000000004,0.008,8280511
K03429.04,CONFIRMED,0.92067504,44.433726,162.9825,6.117999999999999,0.624,0.015,9230021
K01426.03,CONFIRMED,0.92016387,150.01895109999995,224.68571400000002,4.3823,1.252,0.33299999999999996,11122894
K04838.02,CONFIRMED,0.9195235,6.33342309,133.7198,3.46,1.101,0.114,8216763
K00304.02,CONFIRMED,0.9193629,5.5181949999999995,136.584,1.81,0.243,0.005,6029239
K00524.01,CONFIRMED,0.9190328,4.592393816,172.00472299999996,2.2748,0.02,0.028999999999999998,8934495
K01473.01,CONFIRMED,0.91877174,23.02028478,357.78612400000014,3.5439999999999996,0.794,0.073,7499398
K01106.03,CONFIRMED,0.91711414,13.2298203,134.3757,3.5660000000000003,0.435,0.012,3240158
K00635.01,CONFIRMED,0.91698873,16.71987303,171.40143,3.3169999999999997,0.4370000000000001,0.021,5020319
K00239.02,CONFIRMED,0.91441417,3.62275506,132.99267,2.7868,0.006999999999999999,0.012,6383785
K03068.02,CONFIRMED,0.9140253,6.65171459,137.6781,2.325,0.408,0.011000000000000001,3230805
K01089.02,CONFIRMED,0.9140135,12.21828097,140.32109499999999,2.6969,0.778,0.043,3247268
K04692.02,CONFIRMED,0.9135453,7.6720844,134.1756,3.451,0.523,0.008,10972902
K01574.04,CONFIRMED,0.9128633,8.9772888,133.44748,4.72,0.7020000000000001,0.01,10028792
K01082.02,CONFIRMED,0.9110371,4.09667624,133.09833,2.19,0.142,0.015,10141900
K01750.02,CONFIRMED,0.91013277,2.53742164,132.34623,1.5630000000000002,0.285,0.009000000000000001,6209677
K01608.03,CONFIRMED,0.9098402,232.04032599999996,262.2531,12.235,0.61,0.016,10055126
