\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_009468_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 602      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:05 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454733.011090 13.46318 0.00666 
 2454733.013279 13.47260 0.00763 
 2454733.901125 13.46134 0.00499 
 2454733.911292 13.47332 0.00518 
 2454733.921461 13.47063 0.00495 
 2454733.975612 13.46246 0.00483 
 2454733.987543 13.48029 0.00474 
 2454733.992276 13.48748 0.00509 
 2454733.997003 13.47357 0.00510 
 2454734.001726 13.47582 0.00512 
 2454734.006453 13.46245 0.00551 
 2454734.011183 13.44059 0.00643 
 2454734.905837 13.48437 0.00507 
 2454734.918267 13.47992 0.00526 
 2454734.930691 13.47412 0.00522 
 2454734.943120 13.48717 0.00525 
 2454734.960785 13.47488 0.00500 
 2454734.976174 13.47383 0.00485 
 2454735.007888 13.44981 0.00587 
 2454737.895504 13.48480 0.00498 
 2454737.907936 13.47294 0.00488 
 2454737.920366 13.47983 0.00501 
 2454737.932813 13.47808 0.00490 
 2454737.945293 13.47722 0.00487 
 2454737.975308 13.47296 0.00484 
 2454737.985491 13.46949 0.00513 
 2454737.995667 13.46856 0.00498 
 2454738.005848 13.45575 0.00503 
 2454738.016019 13.48071 0.00840 
 2454738.895219 13.47840 0.00482 
 2454738.907643 13.48427 0.00471 
 2454738.920061 13.47310 0.00498 
 2454738.932473 13.48601 0.00477 
 2454738.972448 13.46774 0.00444 
 2454738.982609 13.47274 0.00485 
 2454738.992772 13.46638 0.00464 
 2454739.002951 13.45731 0.00481 
 2454739.015405 13.47086 0.00739 
 2454739.891311 13.47340 0.00492 
 2454739.903730 13.48877 0.00475 
 2454739.916144 13.56966 0.00406 
 2454739.928556 13.48380 0.00490 
 2454739.941012 13.48227 0.00482 
 2454739.991322 13.48093 0.00459 
 2454740.001486 13.46878 0.00454 
 2454741.887485 13.48996 0.00515 
 2454741.899906 13.47734 0.00510 
 2454741.912318 13.47639 0.00516 
 2454741.924734 13.48032 0.00529 
 2454741.934719 13.47212 0.00513 
 2454741.964697 13.46188 0.00507 
 2454741.974875 13.47438 0.00531 
 2454741.985039 13.46853 0.00488 
 2454741.995205 13.45887 0.00465 
 2454742.007665 13.47983 0.00501 
 2454742.897478 13.46607 0.00496 
 2454742.909906 13.47573 0.00482 
 2454742.922331 13.48301 0.00445 
 2454742.972515 13.48399 0.00492 
 2454742.982695 13.47114 0.00467 
 2454742.992869 13.46808 0.00460 
 2454743.005360 13.46047 0.00463 
 2454743.015363 13.48642 0.00589 
 2454743.880195 13.48013 0.00616 
 2454743.892611 13.46736 0.00504 
 2454743.905025 13.47826 0.00437 
 2454743.929876 13.47356 0.00510 
 2454743.980153 13.47856 0.00520 
 2454743.990306 13.46823 0.00510 
 2454744.002750 13.47466 0.00457 
 2454744.012736 13.48480 0.00515 
 2454745.873877 13.46535 0.00482 
 2454745.886296 13.46933 0.00472 
 2454745.898707 13.47819 0.00505 
 2454745.911117 13.47780 0.00511 
 2454745.923577 13.47788 0.00495 
 2454745.973874 13.47297 0.00548 
 2454745.984047 13.46033 0.00543 
 2454745.996517 13.47568 0.00535 
 2454746.006531 13.46858 0.00502 
 2454746.016512 13.48884 0.00669 
 2454746.873787 13.45901 0.00544 
 2454746.886196 13.45711 0.00517 
 2454746.898609 13.48193 0.00508 
 2454746.911015 13.46699 0.00533 
 2454746.961114 13.46741 0.00541 
 2454746.971263 13.47065 0.00531 
 2454746.981423 13.47605 0.00581 
 2454746.993882 13.48071 0.00566 
 2454747.003869 13.48886 0.00531 
 2454747.013857 13.48938 0.00600 
 2454747.870728 13.47287 0.00532 
 2454747.883144 13.47766 0.00515 
 2454747.895556 13.46923 0.00535 
 2454747.907964 13.46981 0.00513 
 2454747.917946 13.47860 0.00518 
 2454747.968236 13.48860 0.00520 
 2454747.978394 13.46391 0.00552 
 2454747.990849 13.46551 0.00568 
 2454748.000857 13.47508 0.00555 
 2454748.010841 13.47383 0.00581 
 2454748.868068 13.46854 0.00486 
 2454748.880441 13.47380 0.00487 
 2454748.892818 13.48528 0.00514 
 2454748.905191 13.47972 0.00510 
 2454748.915150 13.46910 0.00516 
 2454748.935061 13.47982 0.00536 
 2454748.965290 13.48125 0.00505 
 2454748.975422 13.45948 0.00531 
 2454748.987838 13.47541 0.00528 
 2454748.997800 13.48547 0.00518 
 2454749.007759 13.47708 0.00499 
 2454749.017711 13.46736 0.00633 
 2454749.865403 13.48397 0.00548 
 2454749.877826 13.48152 0.00507 
 2454749.890245 13.47743 0.00541 
 2454749.902658 13.47900 0.00503 
 2454749.942627 13.46810 0.00525 
 2454749.952799 13.48147 0.00524 
 2454749.962973 13.47081 0.00498 
 2454749.973141 13.47168 0.00528 
 2454749.985609 13.47211 0.00527 
 2454749.995604 13.46091 0.00742 
 2454750.005593 13.47738 0.00937 
 2454750.015579 13.47220 0.00582 
 2454758.836382 13.46502 0.00740 
 2454758.843551 13.47211 0.00723 
 2454758.850719 13.48105 0.00677 
 2454758.857884 13.47491 0.00710 
 2454758.865044 13.46556 0.00716 
 2454758.872204 13.46256 0.00716 
