\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_000021_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Thu Oct 26, 04:44:09 2006"               
\STOP_DATE = "Mon Nov 24, 04:44:47 2008"               
\fixlen = T
\NUMRECORDS = 1792     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:59:26 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454053.729100 14.11639 0.00777 
 2454053.733619 14.11942 0.00787 
 2454053.738144 14.11451 0.00782 
 2454053.742669 14.11624 0.00782 
 2454054.652340 14.13183 0.00817 
 2454054.656858 14.13332 0.00787 
 2454054.661383 14.12160 0.00807 
 2454054.666755 14.11232 0.00787 
 2454054.672125 14.10801 0.00786 
 2454054.677497 14.12477 0.00802 
 2454054.682867 14.12057 0.00801 
 2454054.684971 14.12206 0.00777 
 2454054.689493 14.12271 0.00784 
 2454054.694012 14.11926 0.00780 
 2454054.698536 14.10534 0.00786 
 2454054.703058 14.13832 0.00776 
 2454054.707575 14.13112 0.00775 
 2454054.712099 14.11809 0.00768 
 2454054.716624 14.11464 0.00758 
 2454054.721147 14.12890 0.00766 
 2454054.725665 14.13237 0.00777 
 2454054.730189 14.12442 0.00777 
 2454054.734714 14.11452 0.00762 
 2454054.739238 14.11902 0.00750 
 2454055.646626 14.11077 0.00873 
 2454055.651150 14.10431 0.00856 
 2454055.655676 14.11691 0.00828 
 2454055.661040 14.12486 0.00848 
 2454055.666408 14.12579 0.00844 
 2454055.671778 14.11916 0.00822 
 2454055.677148 14.12030 0.00816 
 2454055.679253 14.12115 0.00804 
 2454055.683777 14.11799 0.00799 
 2454055.688302 14.11797 0.00787 
 2454055.692827 14.11592 0.00769 
 2454055.697343 14.10989 0.00778 
 2454055.701867 14.12137 0.00776 
 2454055.706389 14.12513 0.00785 
 2454055.710907 14.11185 0.00768 
 2454055.715432 14.10356 0.00779 
 2454055.719956 14.11715 0.00784 
 2454055.724473 14.12235 0.00778 
 2454055.728997 14.12061 0.00760 
 2454055.733520 14.12467 0.00752 
 2454056.647318 14.10725 0.00836 
 2454056.651837 14.12986 0.00828 
 2454056.656361 14.12252 0.00800 
 2454056.661723 14.13371 0.00829 
 2454056.667091 14.10299 0.00831 
 2454056.672454 14.10415 0.00815 
 2454056.677821 14.11618 0.00791 
 2454056.679924 14.12222 0.00796 
 2454056.684448 14.11989 0.00801 
 2454056.688972 14.11722 0.00784 
 2454056.693492 14.11755 0.00797 
 2454056.698015 14.13535 0.00781 
 2454056.702537 14.13701 0.00773 
 2454056.707056 14.12108 0.00762 
 2454056.711581 14.12040 0.00784 
 2454056.716105 14.12355 0.00789 
 2454056.720631 14.12008 0.00772 
 2454056.725154 14.12576 0.00776 
 2454056.729671 14.10974 0.00751 
 2454056.734196 14.11641 0.00757 
 2454057.641528 14.13088 0.00898 
 2454057.646052 14.12478 0.00837 
 2454057.650575 14.11767 0.00849 
 2454057.655939 14.11315 0.00836 
 2454057.661302 14.11589 0.00872 
 2454057.666667 14.11549 0.00845 
 2454057.672036 14.11716 0.00825 
 2454057.677400 14.11046 0.00852 
 2454057.679503 14.12017 0.00825 
 2454057.684026 14.11690 0.00812 
 2454057.688542 14.11542 0.00793 
 2454057.693066 14.12885 0.00831 
 2454057.697587 14.11337 0.00808 
 2454057.702107 14.12255 0.00806 
 2454057.706631 14.12368 0.00824 
 2454057.711156 14.12447 0.00821 
 2454057.715681 14.11400 0.00813 
 2454057.720203 14.11164 0.00804 
 2454057.724722 14.12359 0.00789 
 2454057.729246 14.12140 0.00824 
 2454058.641923 14.11353 0.00797 
 2454058.646443 14.10989 0.00787 
 2454058.650963 14.12526 0.00826 
