\INPUT_FILE = /exodata/ETSS-prep/KELT/doN02/raw/KELT_N02_lc_008346_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:06:26 2006"               
\STOP_DATE = "Mon Nov 24, 09:34:38 2008"               
\fixlen = T
\NUMRECORDS = 596      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Thu Feb 25, 16:58:15 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454737.895504 12.04175 0.00209 
 2454737.907936 12.04521 0.00205 
 2454737.920366 12.04052 0.00208 
 2454737.932813 12.04278 0.00205 
 2454737.945293 12.04852 0.00203 
 2454737.975308 12.04510 0.00200 
 2454737.985491 12.04960 0.00210 
 2454737.995667 12.04847 0.00204 
 2454738.005848 12.03840 0.00202 
 2454738.016019 12.03964 0.00282 
 2454738.895219 12.04118 0.00203 
 2454738.907643 12.04584 0.00200 
 2454738.920061 12.04318 0.00207 
 2454738.932473 12.04554 0.00202 
 2454738.972448 12.04169 0.00187 
 2454738.982609 12.04009 0.00200 
 2454738.992772 12.04054 0.00195 
 2454739.002951 12.04186 0.00199 
 2454739.015405 12.05789 0.00254 
 2454739.891311 12.04985 0.00204 
 2454739.903730 12.04520 0.00200 
 2454739.928556 12.04777 0.00205 
 2454739.941012 12.04178 0.00200 
 2454739.991322 12.05055 0.00185 
 2454740.001486 12.04303 0.00184 
 2454741.887485 12.05198 0.00211 
 2454741.899906 12.05095 0.00210 
 2454741.912318 12.05176 0.00210 
 2454741.924734 12.04506 0.00213 
 2454741.934719 12.04958 0.00208 
 2454741.964697 12.03999 0.00205 
 2454741.974875 12.04155 0.00211 
 2454741.985039 12.04820 0.00198 
 2454741.995205 12.04099 0.00188 
 2454742.007665 12.04202 0.00200 
 2454742.897478 12.04589 0.00205 
 2454742.909906 12.04551 0.00201 
 2454742.922331 12.04106 0.00184 
 2454742.972515 12.04760 0.00202 
 2454742.982695 12.04299 0.00196 
 2454742.992869 12.04424 0.00191 
 2454743.005360 12.05020 0.00189 
 2454743.015363 12.04424 0.00221 
 2454743.880195 12.04415 0.00249 
 2454743.892611 12.04206 0.00210 
 2454743.905025 12.04412 0.00181 
 2454743.929876 12.04033 0.00210 
 2454743.980153 12.04350 0.00211 
 2454743.990306 12.04272 0.00209 
 2454744.002750 12.04495 0.00189 
 2454744.012736 12.04591 0.00208 
 2454745.873877 12.05028 0.00201 
 2454745.886296 12.04359 0.00198 
 2454745.898707 12.05058 0.00211 
 2454745.911117 12.05295 0.00211 
 2454745.923577 12.04205 0.00205 
 2454745.973874 12.03528 0.00220 
 2454745.984047 12.04464 0.00216 
 2454745.996517 12.04410 0.00217 
 2454746.006531 12.05632 0.00201 
 2454746.016512 12.05361 0.00244 
 2454746.873787 12.04046 0.00222 
 2454746.886196 12.04514 0.00211 
 2454746.898609 12.04968 0.00208 
 2454746.911015 12.04945 0.00217 
 2454746.961114 12.04454 0.00214 
 2454746.971263 12.04391 0.00211 
 2454746.981423 12.03681 0.00226 
 2454746.993882 12.04294 0.00225 
 2454747.003869 12.04762 0.00213 
 2454747.013857 12.03808 0.00228 
 2454747.870728 12.03723 0.00221 
 2454747.883144 12.03671 0.00214 
 2454747.895556 12.03936 0.00220 
 2454747.907964 12.04958 0.00212 
 2454747.917946 12.04480 0.00213 
 2454747.968236 12.05161 0.00211 
 2454747.978394 12.04652 0.00218 
 2454747.990849 12.04382 0.00226 
 2454748.000857 12.04631 0.00221 
 2454748.010841 12.04111 0.00226 
 2454748.868068 12.04632 0.00202 
 2454748.880441 12.05155 0.00203 
 2454748.892818 12.05163 0.00212 
 2454748.905191 12.04543 0.00211 
 2454748.915150 12.04532 0.00211 
 2454748.935061 12.04285 0.00215 
 2454748.965290 12.04680 0.00206 
 2454748.975422 12.03694 0.00214 
 2454748.987838 12.03561 0.00214 
 2454748.997800 12.04390 0.00211 
 2454749.007759 12.04037 0.00202 
 2454749.017711 12.04940 0.00234 
 2454749.865403 12.04582 0.00221 
 2454749.877826 12.05206 0.00207 
 2454749.890245 12.04507 0.00221 
 2454749.902658 12.04504 0.00206 
 2454749.942627 12.04624 0.00211 
 2454749.952799 12.04590 0.00212 
 2454749.962973 12.04839 0.00202 
 2454749.973141 12.04430 0.00210 
 2454749.985609 12.04364 0.00212 
 2454749.995604 12.05169 0.00285 
 2454750.015579 12.04658 0.00217 
 2454758.836382 12.03983 0.00269 
 2454758.843551 12.04420 0.00266 
 2454758.850719 12.04009 0.00255 
 2454758.857884 12.04161 0.00261 
 2454758.865044 12.04589 0.00262 
 2454758.872204 12.04510 0.00264 
 2454758.879351 12.04941 0.00269 
 2454758.886418 12.04687 0.00266 
 2454758.891146 12.04894 0.00264 
 2454758.900600 12.04431 0.00257 
 2454758.921705 12.04282 0.00228 
 2454758.923912 12.04594 0.00234 
 2454758.926115 12.04679 0.00246 
 2454758.928322 12.04814 0.00254 
 2454758.930522 12.04507 0.00259 
 2454758.932724 12.04605 0.00261 
 2454758.934932 12.04482 0.00263 
 2454758.937137 12.04177 0.00261 
 2454758.939342 12.05002 0.00254 
 2454758.941543 12.04324 0.00251 
 2454758.943748 12.03974 0.00247 
 2454758.945947 12.04965 0.00244 
 2454758.948150 12.04357 0.00242 
 2454758.950352 12.03658 0.00238 
 2454758.952555 12.04403 0.00229 
 2454758.954760 12.04960 0.00234 
 2454758.959855 12.04137 0.00259 
 2454759.832185 12.04539 0.00245 
 2454759.839255 12.04205 0.00223 
 2454759.846312 12.04571 0.00218 
 2454759.853369 12.04076 0.00234 
 2454759.860426 12.04575 0.00239 
 2454759.867484 12.04694 0.00236 
 2454759.874542 12.04452 0.00233 
 2454759.881601 12.04460 0.00226 
 2454759.886312 12.04521 0.00231 
 2454759.891041 12.03924 0.00228 
 2454759.916829 12.04504 0.00238 
 2454759.919023 12.04001 0.00241 
 2454759.921230 12.03789 0.00242 
 2454759.923419 12.03420 0.00241 
 2454759.925629 12.04701 0.00239 
 2454759.927830 12.03907 0.00235 
 2454759.930021 12.04531 0.00232 
 2454759.932232 12.04213 0.00236 
 2454759.934423 12.04412 0.00245 
 2454759.936633 12.04037 0.00243 
 2454759.938835 12.05345 0.00239 
 2454759.941028 12.04449 0.00237 
 2454759.943238 12.05069 0.00242 
 2454759.945426 12.04354 0.00243 
 2454759.947637 12.04727 0.00243 
 2454759.949841 12.04410 0.00248 
 2454759.952034 12.04623 0.00246 
