Row ID,K2 Name,K2 ID,Alt Name,RA (J2000),RA Error,Dec (J2000),Dec Error,Disc Method,Number of Planets,Planet Radius,Planet Radius err1,Planet Radius err2,Planet Radius Limit Flag,# Planet Radius Measurements,Semi-Major Axis,Semi-Major Axis err1,Semi-Major Axis err2,Semi-Major Axis Flag,# Semi-Major Axis Measurements,Orbital Eccentricity,Orbital Eccentricity err1,Orbital Eccentricity err2,Orbital Eccentricity Limit Flag,# Orbital Eccentricity Measurements,Orbital Inclination,Orbital Inclination err1,Orbital Inclination err2,Orbital Inclination Limit Flag,# Orbital Inclination Measurements,Planet Mass,Planet mass err1,Planet mass err2,Planet mass Limit Flag,# Planet mass Measurements,Planet mass Provenence,Planet Density,Planet Density err1,Planet Density err2,Planet Density Limit Flag,# Planet Density Measurements,Period,Period err1,Period err2,Period Limit Flag,# Period Measurements,Kepler Flag,K2 Flag,Stellar Mass,Stellar Mass err1,Stellar Mass err2,Stellar Mass Limit Flag,# Stellar Mass Measurements,Stellar Radius,Stellar Radius err1,Stellar Radius err2,Stellar Radius Limit Flag,# Stellar radius Measurements,Stellar Distance,Stellar Distance err1,Stellar Distance err2,Stellar  Distance limit Flag,# Stellar Distance Measurements,Stellar Optical mag,Stellar Optical mag err,Stellar Optical mag Limit Flag,Optical Mag Band Name,Stellar Teff,Stellar Teff err1,Stellar Teff err2,Stellar Teff Limit Flag,# Stellar Teff Measurements,# of Planet Notes,Last Update,Gaia gmag,Gaia gmag Err,Gaia gmag Limit Flag,Kepmag,K2 Campaign,Discovery Facility
11,K2-8 b,201445392,K2-8 b,11 19 10.481,0.0,-00 17 03.75,0.0,Transit,2,0.319,0.063,-0.063,0,3,0.086,0.001,-0.001,0,3,,,,,0,86.420,2.560,-1.370,0,1,,,,,0,,,,,,0,10.352,8.600e-4,-8.600e-4,0,3,0,1,0.780,0.040,-0.040,0.000,3,0.740,0.040,-0.040,0,3,,,,,0,14.610,0.030,0,V (Johnson),4870,60,-60,0,3,0,2016-07-07,,,,14.384,1,K2
12,K2-9 b,201465501,K2-9 b,11 45 03.472,0.0,+00 00 19.08,0.0,Transit,1,0.201,0.047,-0.086,0,3,0.091,0.013,-0.016,0,3,,,,,0,87.983,1.593,-0.080,0,1,,,,,0,,,,,,0,18.450,0.002,-0.002,0,3,0,1,0.300,0.140,-0.140,0.000,3,0.310,0.110,-0.110,0,3,,,,,0,15.630,,0,V (Johnson),3390,150,-150,0,3,0,2016-01-21,,,,14.957,1,K2
13,K2-10 b,201577035,K2-10 b,11 28 29.271,0.0,+01 41 26.29,0.0,Transit,1,0.343,0.031,-0.030,0,4,,,,,2,0.310,0.160,-0.180,0,1,,,,,1,0.085,0.053,-0.050,0,1,Mass,2.600,2.100,-1.600,0,1,19.304,0.001,-0.001,0,4,0,1,0.920,0.050,-0.050,0.000,4,0.980,0.080,-0.080,0,4,,,,,0,12.418,0.020,0,V (Johnson),5620,70,-70,0,4,0,2016-02-11,,,,12.296,1,K2
14,K2-11 b,201596316,K2-11 b,11 16 10.082,0.0,+01 59 12.62,0.0,Transit,1,0.674,0.832,-0.832,0,2,0.226,0.014,-0.014,0,2,,,,,0,,,,,0,,,,,0,,,,,,0,39.938,0.232,-0.232,0,2,0,1,1.350,0.040,-0.560,0.000,2,5.150,0.200,-4.390,0,2,,,,,0,13.386,0.090,0,V (Johnson),5433,49,-144,0,2,0,2015-07-16,,,,13.151,1,K2
15,K2-12 b,201613023,K2-12 b,11 32 46.088,0.0,+02 14 41.58,0.0,Transit,1,0.208,0.052,-0.052,0,3,0.080,0.002,-0.002,0,2,,,,,0,,,,,1,,,,,0,,,,,,0,8.282,6.000e-4,-6.000e-4,0,3,0,1,1.010,0.050,-0.060,0.000,3,1.010,0.270,-0.090,0,3,,,,,0,12.258,0.010,0,V (Johnson),5800,53,-90,0,3,0,2015-07-16,,,,12.137,1,K2
16,K2-13 b,201629650,K2-13 b,11 20 37.328,0.0,+02 30 09.71,0.0,Transit,1,0.169,0.085,-0.085,0,2,0.211,0.006,-0.006,0,2,,,,,0,,,,,0,,,,,0,,,,,,0,39.915,0.325,-0.325,0,2,0,1,0.800,0.040,-0.040,0.000,2,0.780,0.090,-0.050,0,2,,,,,0,12.901,0.040,0,V (Johnson),5698,45,-82,0,2,0,2015-07-16,,,,12.727,1,K2
17,K2-14 b,201635569,K2-14 b,11 52 13.685,0.0,+02 35 39.28,0.0,Transit,1,0.429,0.037,-0.037,0,3,0.063,6.000e-4,-6.000e-4,0,3,,,,,1,,,,,1,,,,,0,,,,,,0,8.368,1.900e-4,-1.900e-4,0,3,0,1,0.470,0.010,-0.010,0.000,3,0.450,0.010,-0.010,0,3,,,,,0,16.310,0.070,0,V (Johnson),3789,17,-16,0,3,0,2015-07-16,,,,15.547,1,K2
18,K2-15 b,201736247,K2-15 b,11 52 26.591,0.0,+04 15 17.09,0.0,Transit,1,0.221,0.027,-0.027,0,2,0.091,0.002,-0.002,0,2,,,,,0,,,,,0,,,,,0,,,,,,0,11.810,0.002,-0.002,0,2,0,1,0.720,0.060,-0.030,0.000,2,0.680,0.060,-0.030,0,2,,,,,0,14.663,0.050,0,V (Johnson),5131,69,-65,0,2,0,2015-07-16,,,,14.403,1,K2
19,K2-16 b,201754305,K2-16 b,11 40 23.342,0.0,+04 33 26.42,0.0,Transit,2,0.180,0.021,-0.021,0,3,0.067,0.001,-0.001,0,3,,,,,0,87.970,1.470,-1.860,0,1,,,,,0,,,,,,0,7.619,8.700e-4,-8.700e-4,0,3,0,1,0.680,0.030,-0.030,0.000,3,0.660,0.030,-0.030,0,3,,,,,0,14.670,0.040,0,V (Johnson),4742,60,-60,0,3,0,2016-07-07,,,,14.298,1,K2
20,K2-16 c,201754305,K2-16 c,11 40 23.342,0.0,+04 33 26.42,0.0,Transit,2,0.227,0.100,-0.042,0,3,0.123,0.002,-0.002,0,3,,,,,0,87.830,1.680,-1.680,0,1,,,,,0,,,,,,0,19.079,0.003,-0.003,0,3,0,1,0.680,0.030,-0.030,0.000,3,0.660,0.030,-0.030,0,3,,,,,0,14.670,0.040,0,V (Johnson),4742,60,-60,0,3,0,2016-07-07,,,,14.298,1,K2
21,K2-17 b,201855371,K2-17 b,11 53 19.146,0.0,+06 24 44.14,0.0,Transit,1,0.199,0.018,-0.018,0,4,0.119,0.002,-0.002,0,3,,,,,1,,,,,2,,,,,0,,,,,,0,17.968,0.002,-0.002,0,4,0,1,0.710,0.020,-0.050,0.000,4,0.660,0.020,-0.030,0,4,,,,,0,13.519,0.040,0,V (Johnson),4320,56,-47,0,4,0,2015-07-16,,,,12.997,1,K2
22,K2-18 b,201912552,K2-18 b,11 30 14.509,0.0,+07 35 18.21,0.0,Transit,2,0.212,0.020,-0.020,0,4,0.143,0.006,-0.006,0,4,0.430,,,1,2,89.579,0.008,-0.009,0,2,0.025,0.006,-0.006,0,1,Mass,3.300,1.200,-1.200,0,1,32.940,1.000e-4,-1.000e-4,0,4,0,1,0.360,0.050,-0.050,0.000,4,0.410,0.040,-0.040,0,4,34.000,4.000,-4.000,0,1,13.496,0.050,0,V (Johnson),3457,39,-39,0,4,1,2017-12-21,,,,12.473,1,K2
23,K2-19 b,201505350,K2-19 b,11 39 50.475,0.0,+00 36 12.87,0.0,Transit,3,0.691,0.035,-0.035,0,8,0.074,0.001,-0.001,0,5,,,,,3,89.470,0.410,-0.410,0,4,,,,,2,,,,,,2,7.919,5.000e-5,-5.000e-5,0,8,0,1,0.930,0.050,-0.050,0.000,8,0.860,0.040,-0.040,0,8,,,,,0,13.000,0.010,0,V (Johnson),5430,60,-60,0,8,0,2016-07-07,,,,12.806,1,K2
24,K2-19 c,201505350,K2-19 c,11 39 50.475,0.0,+00 36 12.87,0.0,Transit,3,0.434,0.055,-0.039,0,8,0.097,0.002,-0.002,0,5,,,,,2,87.990,1.420,-1.990,0,4,,,,,2,,,,,,2,11.907,0.002,-0.002,0,8,0,1,0.930,0.050,-0.050,0.000,8,0.860,0.040,-0.040,0,8,,,,,0,13.000,0.010,0,V (Johnson),5430,60,-60,0,8,0,2016-07-07,,,,12.806,1,K2
25,K2-20 b,202126852,HAT-P-56 b,06 43 23.529,0.0,+27 15 08.25,0.0,Transit,1,1.510,0.110,-0.110,0,3,,,,0,2,,,,0,1,82.130,0.180,-0.180,0,3,2.310,0.440,-0.440,0,2,Mass,,,,0,1,2.791,5.000e-6,-5.000e-6,0,4,0,1,1.420,0.330,-0.330,0.000,3,1.470,0.110,-0.110,0,3,310.500,7.100,-7.100,0,3,10.908,0.036,0,V (Johnson),6566,50,-50,0,4,0,2018-04-26,10.775,,0,10.900,0,HATNet
26,K2-25 b,210490365,K2-25 b,04 13 05.624,0.0,+15 14 51.95,0.0,Transit,1,0.306,0.085,-0.028,0,1,,,,0,0,0.270,0.160,-0.210,0,1,88.300,1.200,-0.700,0,1,,,,0,0,,,,,0,0,3.485,3.100e-5,-3.700e-5,0,1,0,1,0.290,0.020,-0.020,0.000,1,0.290,0.020,-0.020,0,1,,,,,0,15.881,0.030,0,V (Johnson),3180,60,-60,0,1,0,2017-09-28,,,,14.528,4,K2
27,K2-39 b,206247743,K2-39 b,22 33 28.411,0.0,-09 01 21.97,0.0,Transit,1,0.560,0.150,-0.150,0,4,,,,0,3,0.000,,,0,3,80.390,4.190,-4.190,0,2,0.090,0.050,-0.050,0,3,Mass,,,,0,2,4.605,4.600e-4,-4.600e-4,0,4,0,1,0.660,0.560,-0.560,0.000,4,2.970,0.770,-0.770,0,4,,,,,0,10.830,0.080,0,V (Johnson),4881,20,-20,0,4,0,2018-04-26,,,,10.581,3,K2
28,K2-97 b,211351816,K2-97 b,08 31 03.080,0.0,+10 50 51.31,0.0,Transit,1,1.310,0.110,-0.110,0,3,,,,,0,,,,,0,,,,,1,1.100,0.110,-0.110,0,2,Mass,,,,,0,8.406,0.002,-0.002,0,3,0,1,1.160,0.120,-0.120,0.000,3,4.200,0.140,-0.140,0,3,,,,,0,12.611,0.031,0,V (Johnson),4790,90,-90,0,3,0,2016-09-29,,,,12.409,5,K2
29,K2-98 b,211391664,K2-98 b,08 25 57.189,0.0,+11 30 40.12,0.0,Transit,1,0.384,0.027,-0.018,0,2,0.094,0.006,-0.005,0,1,0.000,,,0,1,89.000,0.500,-0.700,0,2,0.101,0.025,-0.025,0,1,Mass,2.150,0.670,-0.600,0,1,10.137,3.300e-4,-3.300e-4,0,2,0,1,1.070,0.040,-0.040,0.000,2,1.310,0.080,-0.050,0,2,,,,,0,12.166,0.030,0,V (Johnson),6120,80,-80,0,2,0,2016-09-29,,,,12.102,5,K2
30,K2-109 b,201437844,HD 106315 b,12 13 53.394,0.0,-00 23 36.54,0.0,Transit,2,0.207,0.012,-0.007,0,4,0.090,0.001,-0.001,0,3,,,,0,1,,,,0,3,0.025,0.007,-0.008,0,1,Mass,,,,0,0,9.558,0.002,-0.002,0,4,0,1,1.080,0.030,-0.040,0.000,4,1.290,0.020,-0.020,0,4,109.700,0.700,-0.700,0,1,8.951,0.018,0,V (Johnson),6277,52,-51,0,4,0,2018-07-12,8.860,,0,9.234,10,K2
31,K2-110 b,212521166,K2-110 b,13 49 23.888,0.0,-12 17 04.17,0.0,Transit,1,0.231,0.009,-0.009,0,2,0.102,8.000e-4,-8.000e-4,0,1,0.079,0.070,-0.070,0,1,89.350,0.410,-0.240,0,2,0.053,0.010,-0.010,0,1,Mass,5.200,1.200,-1.200,0,1,13.864,2.600e-4,-2.600e-4,0,2,0,1,0.740,0.020,-0.020,0.000,2,0.710,0.020,-0.020,0,2,,,,,0,11.915,0.070,0,V (Johnson),5010,50,-50,0,2,0,2017-05-18,,,,11.590,6,K2
32,K2-113 b,220504338,K2-113 b,01 17 47.829,0.0,+06 52 08.02,0.0,Transit,1,0.930,0.100,-0.070,0,1,0.056,0.006,-0.005,0,1,0.000,,,0,1,86.210,0.200,-0.210,0,1,1.290,0.130,-0.140,0,1,Mass,1.970,0.610,-0.530,0,1,5.818,3.100e-5,-2.900e-5,0,1,0,1,1.010,0.040,-0.040,0.000,1,1.050,0.110,-0.080,0,1,,,,,0,13.684,0.030,0,V (Johnson),5627,88,-88,0,1,1,2017-07-27,,,,13.514,8,K2
33,K2-125 b,212398486,K2-125 b,13 36 34.109,0.0,-14 56 51.37,0.0,Transit,1,0.194,0.017,-0.016,0,1,0.121,0.004,-0.005,0,1,0.080,0.161,-0.067,0,1,89.720,0.190,-0.210,0,1,,,,0,0,,,,,0,0,21.750,0.002,-0.002,0,1,0,1,0.490,0.050,-0.060,0.000,1,0.400,0.030,-0.030,0,1,,,,,0,16.122,0.068,0,V (Johnson),3654.4699999999998,99.560000000000002,-92.329999999999998,0,1,0,2017-10-05,,,,15.147,6,K2
34,K2-126 b,212460519,K2-126 b,13 34 11.169,0.0,-13 34 36.94,0.0,Transit,1,0.164,0.010,-0.009,0,2,0.066,0.002,-0.002,0,1,0.060,0.142,-0.050,0,1,89.400,0.410,-0.490,0,2,,,,0,0,,,,,0,0,7.387,2.540e-4,-2.530e-4,0,2,0,1,0.700,0.070,-0.070,0.000,2,0.620,0.040,-0.030,0,2,,,,,0,12.918,0.030,0,V (Johnson),4367.8299999999999,128.30000000000001,-114.56999999999999,0,2,0,2017-10-05,,,,12.445,6,K2
35,K2-127 b,212554013,K2-127 b,13 48 18.812,0.0,-11 35 20.32,0.0,Transit,1,0.773,0.061,-0.053,0,1,0.041,0.001,-0.001,0,1,0.120,0.142,-0.096,0,1,87.220,0.420,-0.470,0,1,,,,0,0,,,,,0,0,3.588,1.500e-5,-1.600e-5,0,1,0,1,0.700,0.070,-0.070,0.000,1,0.680,0.050,-0.040,0,1,,,,,0,15.037,0.040,0,V (Johnson),4387.8400000000001,142.05000000000001,-137.02000000000001,0,1,0,2017-10-05,,,,14.733,6,K2
36,K2-128 b,212686205,K2-128 b,13 37 45.037,0.0,-08 35 49.43,0.0,Transit,1,0.127,0.014,-0.012,0,2,0.056,0.002,-0.002,0,1,0.230,0.220,-0.194,0,1,87.400,1.080,-0.660,0,2,,,,0,0,,,,,0,0,5.676,4.110e-4,-4.140e-4,0,2,0,1,0.710,0.070,-0.070,0.000,2,0.780,0.080,-0.060,0,2,,,,,0,12.627,0.030,0,V (Johnson),4469.5100000000002,171.97,-145.15000000000001,0,2,0,2017-10-05,,,,12.256,6,K2
37,K2-129 b,214787262,K2-129 b,19 16 35.596,0.0,-25 38 41.87,0.0,Transit,1,0.093,0.009,-0.008,0,1,0.057,0.003,-0.004,0,1,0.130,0.210,-0.110,0,1,89.210,0.500,-0.480,0,1,,,,0,0,,,,,0,0,8.239,2.920e-4,-2.910e-4,0,1,0,1,0.360,0.070,-0.070,0.000,1,0.360,0.030,-0.030,0,1,,,,,0,13.630,0.034,0,V (Johnson),3459.0900000000001,89.049999999999997,-83.620000000000005,0,1,0,2017-10-05,,,,12.533,7,K2
38,K2-130 b,217941732,K2-130 b,19 21 04.863,0.0,-19 41 26.91,0.0,Transit,1,0.112,0.018,-0.012,0,2,0.032,0.001,-0.001,0,1,0.170,0.220,-0.136,0,1,86.530,1.920,-1.650,0,2,,,,0,0,,,,,0,0,2.494,1.320e-4,-1.280e-4,0,2,0,1,0.700,0.070,-0.070,0.000,2,0.740,0.110,-0.080,0,2,,,,,0,12.759,0.010,0,V (Johnson),4356.4700000000003,196.72999999999999,-172.40000000000001,0,2,0,2017-10-05,,,,12.283,7,K2
39,K2-18 c,201912552,K2-18 c,11 30 14.509,0.0,+07 35 18.21,0.0,Radial Velocity,2,,,,0,0,0.060,0.003,-0.003,0,1,0.470,,,1,1,,,,0,0,0.024,0.004,-0.004,0,1,Msini,,,,0,0,8.962,0.008,-0.008,0,1,0,1,0.360,0.050,-0.050,0.000,4,0.410,0.040,-0.040,0,4,34.000,4.000,-4.000,0,1,13.496,0.050,0,V (Johnson),3457,39,-39,0,4,1,2017-12-21,,,,12.473,1,La Silla Observatory
40,K2-140 b,228735255,K2-140 b,12 32 32.963,0.0,-09 36 27.50,0.0,Transit,1,1.093,0.015,-0.015,0,3,0.069,5.000e-4,-5.000e-4,0,2,,,,0,1,,,,0,2,0.211,0.098,-0.067,0,2,Mass,,,,0,1,6.569,4.000e-5,-4.000e-5,0,3,0,1,1.000,0.020,-0.020,0.000,3,0.990,0.010,-0.010,0,3,341.600,5.500,-5.100,0,2,12.624,0.030,0,V (Johnson),5705,50,-48,0,3,0,2018-07-12,12.393,,0,12.483,10,K2
41,K2-134 b,246441449,WASP-151 b,23 16 15.227,0.0,+00 18 24.27,0.0,Transit,1,1.130,0.030,-0.030,0,1,0.055,0.001,-0.001,0,1,0.003,,,1,1,89.200,0.600,-0.600,0,1,0.310,0.040,-0.030,0,1,Mass,0.290,0.040,-0.030,0,1,4.533,4.000e-6,-4.000e-6,0,1,0,1,1.080,0.080,-0.080,0.000,1,1.140,0.030,-0.030,0,1,,,,,0,12.795,0.010,0,V (Johnson),5871,57,-57,0,1,0,2017-10-26,,,,12.670,12,SuperWASP-South
42,K2-141 b,246393474,K2-141 b,23 23 39.968,0.0,-01 11 21.39,0.0,Transit,2,0.135,0.004,-0.004,0,2,,,,0,1,0.000,,,0,2,86.300,2.700,-3.600,0,2,0.016,0.001,-0.001,0,2,Mass,8.200,1.100,-1.100,0,2,0.280,1.500e-6,-1.500e-6,0,2,0,1,0.710,0.030,-0.030,0.000,2,0.680,0.020,-0.020,0,2,58.770,2.810,-2.810,0,3,11.389,0.148,0,V (Johnson),4599,79,-79,0,2,0,2018-01-18,10.616,,0,10.619,12,K2
43,K2-141 c,246393474,K2-141 c,23 23 39.968,0.0,-01 11 21.39,0.0,Transit,2,0.624,0.410,-0.250,0,1,,,,0,0,0.000,,,0,1,87.200,1.600,-2.000,0,1,0.023,,,1,1,Mass,,,,0,0,7.748,2.200e-4,-2.200e-4,0,1,0,1,0.710,0.030,-0.030,0.000,2,0.680,0.020,-0.020,0,2,58.770,2.810,-2.810,0,3,11.389,0.148,0,V (Johnson),4599,79,-79,0,2,1,2018-01-18,10.616,,0,10.619,12,K2
44,K2-142 b,217671466,HATS-9 b,19 23 14.425,0.0,-20 09 58.74,0.0,Transit,1,1.172,0.010,-0.010,0,2,,,,0,1,,,,0,1,88.940,0.440,-0.440,0,2,0.816,0.038,-0.038,0,2,Mass,0.626,0.029,-0.022,0,2,1.915,9.400e-7,-9.400e-7,0,2,0,1,1.030,0.040,-0.040,0.000,1,1.500,0.100,-0.040,0,1,622.000,42.000,-30.000,0,1,13.276,0.010,0,V (Johnson),5366,70,-70,0,1,0,2018-01-18,,,,13.095,7,HATSouth
45,K2-143 b,216414930,HATS-11 b,19 17 36.182,0.0,-22 23 23.74,0.0,Transit,1,1.487,0.031,-0.031,0,2,,,,0,1,,,,0,1,89.030,0.360,-0.470,0,2,0.830,0.100,-0.100,0,2,Mass,0.315,0.037,-0.037,0,2,3.619,3.100e-6,-3.100e-6,0,2,0,1,1.000,0.060,-0.060,0.000,1,1.440,0.060,-0.060,0,1,,,,,0,14.018,0.081,0,V (Johnson),6060,150,-150,0,1,0,2018-01-18,,,,13.737,7,HATSouth
46,K2-144 b,218131080,HATS-12 b,19 16 48.574,0.0,-19 21 21.27,0.0,Transit,1,1.384,0.059,-0.059,0,3,,,,0,1,,,,0,1,82.270,0.640,-0.640,0,3,2.390,0.087,-0.087,0,2,Mass,1.120,0.140,-0.140,0,2,3.143,2.200e-6,-2.200e-6,0,3,0,1,1.490,0.070,-0.070,0.000,2,2.210,0.210,-0.210,0,2,,,,,0,12.756,0.021,0,V (Johnson),6408,75,-75,0,2,0,2018-01-18,,,,12.700,7,HATSouth
47,K2-145 b,215969174,HATS-36 b,19 25 54.888,0.0,-23 12 10.05,0.0,Transit,1,1.235,0.043,-0.043,0,1,0.054,4.300e-4,-4.300e-4,0,1,0.105,0.028,-0.028,0,1,87.610,0.230,-0.230,0,1,3.216,0.062,-0.062,0,1,Mass,2.120,0.200,-0.200,0,1,4.175,2.200e-6,-2.200e-6,0,1,0,1,1.220,0.030,-0.030,0.000,1,1.160,0.040,-0.040,0,1,962.000,37.000,-37.000,0,1,14.386,0.020,0,V (Johnson),6149,76,-76,0,1,0,2018-03-26,14.148,0.013,0,14.300,7,HATSouth
48,K2-146 b,211924657,K2-146 b,08 40 06.427,0.0,+19 05 34.36,0.0,Transit,1,0.196,0.021,-0.021,0,1,0.027,0.001,-0.001,0,1,,,,0,0,,,,0,0,,,,0,0,,,,,0,0,2.645,4.300e-5,-4.300e-5,0,1,0,1,0.360,0.040,-0.040,0.000,1,0.350,0.040,-0.040,0,1,86.000,11.000,-11.000,0,1,16.248,0.072,0,V (Johnson),3385,70,-70,0,1,0,2018-02-01,,,,15.031,5,K2
